input: [SCENE]: scene_context [ACTION]: player_input,output: [CHECK]: check_required
input: [SCENE]: You are disguised as a guard to infiltrate a castle. Someone asks you a question only a real guard would know. [ACTION]: I try to bluff my way through the conversation.,output: [CHECK]: Deception
input: [SCENE]: You are disguised as a guard to infiltrate a castle. Someone asks you a question only a real guard would know. [ACTION]: I try to bluff my way through the conversation.,output: [CHECK]: Deception
input: [SCENE]: You are tending to the wounds of an injured soldier. [ACTION]: I use my healer's kit to bandage their wounds.,output: [CHECK]: Medicine
input: [SCENE]: You are tending to the wounds of an injured soldier. [ACTION]: I use my healer's kit to bandage their wounds.,output: [CHECK]: Medicine
input: [SCENE]: You encounter a frightened animal that has been corrupted by the blight. [ACTION]: I attempt to calm the animal using gentle words and gestures.,output: [CHECK]: Animal Handling
input: [SCENE]: You encounter a frightened animal that has been corrupted by the blight. [ACTION]: I attempt to calm the animal using gentle words and gestures.,output: [CHECK]: Animal Handling
input: [SCENE]: You are trying to find a safe path through a cursed forest. [ACTION]: I look for signs of which path is least affected by the blight.,output: [CHECK]: Survival
input: [SCENE]: You are trying to find a safe path through a cursed forest. [ACTION]: I look for signs of which path is least affected by the blight.,output: [CHECK]: Survival
input: [SCENE]: You are trying to remember the sigil of a particular thieves' guild. [ACTION]: I try to recall the symbol from my time on the streets.,output: [CHECK]: History
input: [SCENE]: You are trying to remember the sigil of a particular thieves' guild. [ACTION]: I try to recall the symbol from my time on the streets.,output: [CHECK]: History
input: [SCENE]: You are in an arm-wrestling match with a local champion. [ACTION]: I use my raw strength to try and beat him.,output: [CHECK]: Athletics
input: [SCENE]: You are in an arm-wrestling match with a local champion. [ACTION]: I use my raw strength to try and beat him.,output: [CHECK]: Athletics
input: [SCENE]: You've been poisoned. [ACTION]: I try to withstand the effects of the poison through sheer resilience.,output: [CHECK]: Constitution
input: [SCENE]: You've been poisoned. [ACTION]: I try to withstand the effects of the poison through sheer resilience.,output: [CHECK]: Constitution
input: [SCENE]: You're trying to quickly don a disguise before someone sees you. [ACTION]: I quickly put on the disguise.,output: [CHECK]: Sleight of Hand
input: [SCENE]: You're trying to quickly don a disguise before someone sees you. [ACTION]: I quickly put on the disguise.,output: [CHECK]: Sleight of Hand
input: [SCENE]: You pray to your god for guidance. [ACTION]: I ask my deity to show me the way forward.,output: [CHECK]: Religion
input: [SCENE]: You pray to your god for guidance. [ACTION]: I ask my deity to show me the way forward.,output: [CHECK]: Religion
"input: [SCENE]: You are tracking a creature through the dense, humid jungles of the Serpent's Tooth peninsula. [ACTION]: [SCENE_START]",output: [CHECK]: None
input: [SCENE]: You are tracking a creature through the jungle. You come to a swift-moving river. [ACTION]: I look for a safe place to cross the river.,output: [CHECK]: Survival
input: [SCENE]: You are tracking a creature through the jungle. You come to a swift-moving river. [ACTION]: I look for a safe place to cross the river.,output: [CHECK]: Survival
"input: [SCENE]: You find large, three-toed tracks in the mud near the riverbank. [ACTION]: I inspect the tracks to identify the creature.",output: [CHECK]: Nature
"input: [SCENE]: You find large, three-toed tracks in the mud near the riverbank. [ACTION]: I inspect the tracks to identify the creature.",output: [CHECK]: Nature
input: [SCENE]: You hear a rustling in the undergrowth nearby. [ACTION]: I ready my bow and try to move silently towards the sound.,output: [CHECK]: Stealth
input: [SCENE]: You hear a rustling in the undergrowth nearby. [ACTION]: I ready my bow and try to move silently towards the sound.,output: [CHECK]: Stealth
"input: [SCENE]: You are exploring an abandoned asylum, searching for a lost occult text. [ACTION]: [SCENE_START]",output: [CHECK]: None
"input: [SCENE]: You enter the asylum's old records room. A faint, ghostly sobbing can be heard. [ACTION]: I ask my otherworldly patron what this spirit is.",output: [CHECK]: Pact Magic
"input: [SCENE]: You enter the asylum's old records room. A faint, ghostly sobbing can be heard. [ACTION]: I ask my otherworldly patron what this spirit is.",output: [CHECK]: Pact Magic
"input: [SCENE]: You find the occult text you were seeking, but it is written in a long-dead language. [ACTION]: I use my pact-given knowledge to translate the text.",output: [CHECK]: History
"input: [SCENE]: You find the occult text you were seeking, but it is written in a long-dead language. [ACTION]: I use my pact-given knowledge to translate the text.",output: [CHECK]: History
"input: [SCENE]: A rival cultist, also seeking the text, confronts you. [ACTION]: I try to scare him off by showing him a glimpse of my patron's power.",output: [CHECK]: Intimidation
"input: [SCENE]: A rival cultist, also seeking the text, confronts you. [ACTION]: I try to scare him off by showing him a glimpse of my patron's power.",output: [CHECK]: Intimidation
input: [SCENE]: You are attending a royal banquet in the king's grand hall. [ACTION]: [SCENE_START],output: [CHECK]: None
input: [SCENE]: You see the visiting Baron from the Westmarch speaking to the Queen. His smile seems forced. [ACTION]: I try to determine if the Baron is being deceptive.,output: [CHECK]: Insight
input: [SCENE]: You see the visiting Baron from the Westmarch speaking to the Queen. His smile seems forced. [ACTION]: I try to determine if the Baron is being deceptive.,output: [CHECK]: Insight
"input: [SCENE]: During the feast, the Court Jester makes a cruel joke at the expense of a young squire. [ACTION]: I stand and publicly admonish the jester for his lack of honor.",output: [CHECK]: Persuasion
"input: [SCENE]: During the feast, the Court Jester makes a cruel joke at the expense of a young squire. [ACTION]: I stand and publicly admonish the jester for his lack of honor.",output: [CHECK]: Persuasion
input: [SCENE]: An assassin disguised as a servant tries to poison the king's wine. You spot the vial in their hand. [ACTION]: I try to subtly knock the goblet from the king's hand before he drinks.,output: [CHECK]: Sleight of Hand
input: [SCENE]: An assassin disguised as a servant tries to poison the king's wine. You spot the vial in their hand. [ACTION]: I try to subtly knock the goblet from the king's hand before he drinks.,output: [CHECK]: Sleight of Hand
"input: [SCENE]: You are in the city sewers, tracking a notorious smuggler. The tunnel ahead is flooded with murky water. [ACTION]: I check the water for any hidden dangers before entering.",output: [CHECK]: Perception
"input: [SCENE]: You are in the city sewers, tracking a notorious smuggler. The tunnel ahead is flooded with murky water. [ACTION]: I check the water for any hidden dangers before entering.",output: [CHECK]: Perception
input: [SCENE]: You are competing in a tournament. Your event is to throw a heavy stone farther than your opponent. [ACTION]: I throw the stone with all my might.,output: [CHECK]: Athletics
input: [SCENE]: You are competing in a tournament. Your event is to throw a heavy stone farther than your opponent. [ACTION]: I throw the stone with all my might.,output: [CHECK]: Athletics
input: [SCENE]: You are in a magical workshop. You find a half-finished potion on a table. [ACTION]: I try to identify the potion and its intended effects.,output: [CHECK]: Arcana
input: [SCENE]: You are in a magical workshop. You find a half-finished potion on a table. [ACTION]: I try to identify the potion and its intended effects.,output: [CHECK]: Arcana
"input: [SCENE]: You are trying to get past a guard who is blocking a door. [ACTION]: I compose a short, flattering song about the guard's heroic vigil.",output: [CHECK]: Performance
"input: [SCENE]: You are trying to get past a guard who is blocking a door. [ACTION]: I compose a short, flattering song about the guard's heroic vigil.",output: [CHECK]: Performance
input: [SCENE]: You are walking through a graveyard tainted by dark magic. The ground beneath you begins to shake. [ACTION]: I brace myself to keep my footing.,output: [CHECK]: Dexterity
input: [SCENE]: You are walking through a graveyard tainted by dark magic. The ground beneath you begins to shake. [ACTION]: I brace myself to keep my footing.,output: [CHECK]: Dexterity
input: [SCENE]: You have cornered a wounded wolf. It is snarling but also looks frightened. [ACTION]: I try to calm the wolf and tend to its wounds.,output: [CHECK]: Animal Handling
input: [SCENE]: You have cornered a wounded wolf. It is snarling but also looks frightened. [ACTION]: I try to calm the wolf and tend to its wounds.,output: [CHECK]: Animal Handling
input: [SCENE]: You are bartering with an imp for a soul coin. The imp is a known trickster. [ACTION]: I try to sense if the imp is trying to magically swindle me.,output: [CHECK]: Insight
input: [SCENE]: You are bartering with an imp for a soul coin. The imp is a known trickster. [ACTION]: I try to sense if the imp is trying to magically swindle me.,output: [CHECK]: Insight
"input: [SCENE]: You have been captured and are being interrogated. Your captors want to know the location of the rebel camp. [ACTION]: I resist their interrogation, holding true to my oath.",output: [CHECK]: Constitution
"input: [SCENE]: You have been captured and are being interrogated. Your captors want to know the location of the rebel camp. [ACTION]: I resist their interrogation, holding true to my oath.",output: [CHECK]: Constitution
input: [SCENE]: You are balancing on a narrow ledge high above the city streets. [ACTION]: I continue to move carefully along the ledge.,output: [CHECK]: Acrobatics
input: [SCENE]: You are balancing on a narrow ledge high above the city streets. [ACTION]: I continue to move carefully along the ledge.,output: [CHECK]: Acrobatics
"input: [SCENE]: You are trapped in a flooding room. A heavy portcullis is the only exit, and it is slowly closing. [ACTION]: I attempt to hold the portcullis open long enough for my friends to escape.",output: [CHECK]: Athletics
"input: [SCENE]: You are trapped in a flooding room. A heavy portcullis is the only exit, and it is slowly closing. [ACTION]: I attempt to hold the portcullis open long enough for my friends to escape.",output: [CHECK]: Athletics
input: [SCENE]: You are shown an ancient tapestry depicting a great battle. [ACTION]: I study the tapestry to understand the historical context of the battle.,output: [CHECK]: History
input: [SCENE]: You are shown an ancient tapestry depicting a great battle. [ACTION]: I study the tapestry to understand the historical context of the battle.,output: [CHECK]: History
input: [SCENE]: You are trying to remember the lyrics to a lullaby that is said to soothe a mythical beast. [ACTION]: I try to recall the ancient song.,output: [CHECK]: Performance
input: [SCENE]: You are trying to remember the lyrics to a lullaby that is said to soothe a mythical beast. [ACTION]: I try to recall the ancient song.,output: [CHECK]: Performance
"input: [SCENE]: You come across a group of villagers arguing, about to come to blows over their last bits of food. [ACTION]: I step between them and call for peace in the name of the Sun God.",output: [CHECK]: Persuasion
"input: [SCENE]: You come across a group of villagers arguing, about to come to blows over their last bits of food. [ACTION]: I step between them and call for peace in a God's name.",output: [CHECK]: Persuasion
"input: [SCENE]: You are hiding, observing a camp of goblins. [ACTION]: I watch their patrol patterns to determine the best time to sneak in.",output: [CHECK]: Investigation
"input: [SCENE]: You are hiding, observing a camp of goblins. [ACTION]: I watch their patrol patterns to determine the best time to sneak in.",output: [CHECK]: Investigation
input: [SCENE]: You have been arrested under suspicion of dark magic. The magistrate is questioning you. [ACTION]: I try to convince the magistrate that I am innocent of any crime.,output: [CHECK]: Deception
input: [SCENE]: You have been arrested under suspicion of dark magic. The magistrate is questioning you. [ACTION]: I try to convince the magistrate that I am innocent of any crime.,output: [CHECK]: Deception
input: [SCENE]: You are riding your horse at a full gallop to deliver an urgent message. A fallen log blocks the path. [ACTION]: I urge my horse to jump over the log.,output: [CHECK]: Animal Handling
input: [SCENE]: You are riding your horse at a full gallop to deliver an urgent message. A fallen log blocks the path. [ACTION]: I urge my horse to jump over the log.,output: [CHECK]: Animal Handling
input: [SCENE]: You are in a rowdy tavern. A fight has broken out between two drunken patrons. [ACTION]: [SCENE_START],output: [CHECK]: None
"input: [SCENE]: A tavern brawl is escalating. One of the patrons smashes a chair and wields a broken leg as a club. [ACTION]: I attempt to disarm him using swift, non-lethal strikes.",output: [CHECK]: Sleight of Hand
"input: [SCENE]: A tavern brawl is escalating. One of the patrons smashes a chair and wields a broken leg as a club. [ACTION]: I attempt to disarm him using swift, non-lethal strikes.",output: [CHECK]: Sleight of Hand
"input: [SCENE]: The tavern brawl is getting out of hand, threatening to injure innocent bystanders. [ACTION]: I try to find a pressure point on the most aggressive brawler to incapacitate him peacefully.",output: [CHECK]: Medicine
"input: [SCENE]: The tavern brawl is getting out of hand, threatening to injure innocent bystanders. [ACTION]: I try to find a pressure point on the most aggressive brawler to incapacitate him peacefully.",output: [CHECK]: Medicine
"input: [SCENE]: A large forest fire is raging, spreading quickly through the dry underbrush. [ACTION]: [SCENE_START]",output: [CHECK]: None
input: [SCENE]: A forest fire is spreading. You see a family of deer trapped by the flames. [ACTION]: I call upon the power of the forest to create a path of damp earth for them to escape.,output: [CHECK]: Nature
input: [SCENE]: A forest fire is spreading. You see a family of deer trapped by the flames. [ACTION]: I call upon the power of the forest to create a path of damp earth for them to escape.,output: [CHECK]: Nature
input: [SCENE]: The forest fire is out of control. [ACTION]: I shapeshift into a great eagle to fly above the fire and find its source.,output: [CHECK]: Druidic Magic
input: [SCENE]: The forest fire is out of control. [ACTION]: I shapeshift into a great eagle to fly above the fire and find its source.,output: [CHECK]: Druidic Magic
"input: [SCENE]: You are in the king's treasury, a room filled with gold coins and guarded by magical wards. [ACTION]: I look for the trigger mechanism for the magical traps.",output: [CHECK]: Investigation
"input: [SCENE]: You are in the king's treasury, a room filled with gold coins and guarded by magical wards. [ACTION]: I look for the trigger mechanism for the magical traps.",output: [CHECK]: Investigation
"input: [SCENE]: You are in a formal courtroom, having been called as a witness. [ACTION]: I try to give my testimony as clearly as possible.",output: [CHECK]: Persuasion
"input: [SCENE]: You are in a formal courtroom, having been called as a witness. [ACTION]: I try to give my testimony as clearly as possible.",output: [CHECK]: Persuasion
input: [SCENE]: You are facing a powerful golem made of solid obsidian. [ACTION]: I search my memory for any lore regarding obsidian golem weaknesses.,output: [CHECK]: History
input: [SCENE]: You are facing a powerful golem made of solid obsidian. [ACTION]: I search my memory for any lore regarding obsidian golem weaknesses.,output: [CHECK]: History
input: [SCENE]: You are in a dungeon and come across a door with a riddle carved into it. [ACTION]: I attempt to solve the riddle.,output: [CHECK]: Intelligence
input: [SCENE]: You are in a dungeon and come across a door with a riddle carved into it. [ACTION]: I attempt to solve the riddle.,output: [CHECK]: Intelligence
"input: [SCENE]: You are in the city's plague ward, tending to the sick. [ACTION]: I try to use my knowledge to diagnose the specific type of magical plague.",output: [CHECK]: Medicine
"input: [SCENE]: You are in the city's plague ward, tending to the sick. [ACTION]: I try to use my knowledge to diagnose the specific type of magical plague.",output: [CHECK]: Medicine
"input: [SCENE]: You are in a vast, open desert, and your water supply is dangerously low. [ACTION]: I scan the horizon for any signs of an oasis or water source.",output: [CHECK]: Survival
"input: [SCENE]: You are in a vast, open desert, and your water supply is dangerously low. [ACTION]: I scan the horizon for any signs of an oasis or water source.",output: [CHECK]: Survival
"input: [SCENE]: You are in a noble's ballroom, trying to identify a rival cultist hiding among the guests. [ACTION]: I look for someone who seems out of place or shows signs of a dark pact.",output: [CHECK]: Insight
"input: [SCENE]: You are in a noble's ballroom, trying to identify a rival cultist hiding among the guests. [ACTION]: I look for someone who seems out of place or shows signs of a dark pact.",output: [CHECK]: Insight
input: [SCENE]: You are chasing a thief across the rooftops of the city. [ACTION]: I leap from one rooftop to the next in pursuit.,output: [CHECK]: Athletics
input: [SCENE]: You are chasing a thief across the rooftops of the city. [ACTION]: I leap from one rooftop to the next in pursuit.,output: [CHECK]: Athletics
"input: [SCENE]: You must cross a narrow, crumbling stone bridge over a deep chasm. [ACTION]: I try to maintain my balance as I cross.",output: [CHECK]: Acrobatics
"input: [SCENE]: You must cross a narrow, crumbling stone bridge over a deep chasm. [ACTION]: I try to maintain my balance as I cross.",output: [CHECK]: Acrobatics
"input: [SCENE]: You are in a cave and find a large, sleeping bear. You need to get past it without waking it. [ACTION]: I try to sneak past the sleeping bear.",output: [CHECK]: Stealth
"input: [SCENE]: You are in a cave and find a large, sleeping bear. You need to get past it without waking it. [ACTION]: I try to sneak past the sleeping bear.",output: [CHECK]: Stealth
input: [SCENE]: You need to create a convincing forgery of a royal seal to read a secret message. [ACTION]: I use my forgery kit to replicate the seal.,output: [CHECK]: Forgery Kit
input: [SCENE]: You need to create a convincing forgery of a royal seal to read a secret message. [ACTION]: I use my forgery kit to replicate the seal.,output: [CHECK]: Forgery Kit
input: [SCENE]: You are in a tense negotiation with an orc chieftain. [ACTION]: I try to intimidate the chieftain into accepting our terms.,output: [CHECK]: Intimidation
input: [SCENE]: You are in a tense negotiation with an orc chieftain. [ACTION]: I try to intimidate the chieftain into accepting our terms.,output: [CHECK]: Intimidation
input: [SCENE]: A door is sealed with a magical glyph that explodes when touched. [ACTION]: I attempt to disarm the magical trap.,output: [CHECK]: Arcana
input: [SCENE]: A door is sealed with a magical glyph that explodes when touched. [ACTION]: I attempt to disarm the magical trap.,output: [CHECK]: Arcana
input: [SCENE]: You are trying to convince a skeptical mayor to fund your expedition. [ACTION]: I tell him a heroic and inspiring story about the potential discoveries.,output: [CHECK]: Performance
input: [SCENE]: You are trying to convince a skeptical mayor to fund your expedition. [ACTION]: I tell him a heroic and inspiring story about the potential discoveries.,output: [CHECK]: Performance
input: [SCENE]: You are trying to recall an obscure passage from your holy text that deals with shadow demons. [ACTION]: I meditate and search my memory for the passage.,output: [CHECK]: Religion
input: [SCENE]: You are trying to recall an obscure passage from your holy text that deals with shadow demons. [ACTION]: I meditate and search my memory for the passage.,output: [CHECK]: Religion
input: [SCENE]: A small child has fallen into a river's rapids. [ACTION]: I dive into the water to rescue the child.,output: [CHECK]: Athletics
input: [SCENE]: A small child has fallen into a river's rapids. [ACTION]: I dive into the water to rescue the child.,output: [CHECK]: Athletics
input: [SCENE]: You are standing before a statue of an ancient god. [ACTION]: I try to discern if there is any residual divine magic left in the statue.,output: [CHECK]: Religion
input: [SCENE]: You are standing before a statue of an ancient god. [ACTION]: I try to discern if there is any residual divine magic left in the statue.,output: [CHECK]: Religion
"input: [SCENE]: You are accused of a crime you didn't commit. [ACTION]: I speak in my own defense, appealing to the court's sense of justice.",output: [CHECK]: Persuasion
"input: [SCENE]: You are accused of a crime you didn't commit. [ACTION]: I speak in my own defense, appealing to the court's sense of justice.",output: [CHECK]: Persuasion
input: [SCENE]: You are being shot at by archers from a wall. [ACTION]: I try to deflect the arrows with my open hands.,output: [CHECK]: Acrobatics
input: [SCENE]: You are being shot at by archers from a wall. [ACTION]: I try to deflect the arrows with my open hands.,output: [CHECK]: Acrobatics
"input: [SCENE]: You find a plant you don't recognize with strange, glowing berries. [ACTION]: I use my knowledge of nature to see if it's poisonous.",output: [CHECK]: Nature
"input: [SCENE]: You find a plant you don't recognize with strange, glowing berries. [ACTION]: I use my knowledge of nature to see if it's poisonous.",output: [CHECK]: Nature
"input: [SCENE]: You are in the middle of a vast, sun-scorched desert. [ACTION]: I try to find shelter from the oppressive heat.",output: [CHECK]: Survival
"input: [SCENE]: You are in the middle of a vast, sun-scorched desert. [ACTION]: I try to find shelter from the oppressive heat.",output: [CHECK]: Survival
input: [SCENE]: You are on a ship caught in a fierce storm. The main mast has cracked. [ACTION]: I try to brace the mast with my raw strength.,output: [CHECK]: Athletics
input: [SCENE]: You are on a ship caught in a fierce storm. The main mast has cracked. [ACTION]: I try to brace the mast with my raw strength.,output: [CHECK]: Athletics
"input: [SCENE]: You are in a courtroom, serving as an expert witness on magical phenomena. [ACTION]: I explain the principles of elemental magic to the court.",output: [CHECK]: Arcana
"input: [SCENE]: You are in a courtroom, serving as an expert witness on magical phenomena. [ACTION]: I explain the principles of elemental magic to the court.",output: [CHECK]: Arcana
"input: [SCENE]: You are in the lair of a greedy dragon, sitting on its hoard of gold. [ACTION]: I try to flatter the dragon, complimenting the luster of its scales.",output: [CHECK]: Persuasion
"input: [SCENE]: You are in the lair of a greedy dragon, sitting on its hoard of gold. [ACTION]: I try to flatter the dragon, complimenting the luster of its scales.",output: [CHECK]: Persuasion
