input,output
"['105', 'Seraphina, a devoted cleric of the Sun God, on a mission to cleanse a blighted land.', 'A fearful villager is refusing to tell you about the source of the blight.', ""I try to reassure him, promising the Sun God's protection.""]","['Persuasion', 'Pass', ""Seeing the conviction in your eyes and the holy symbol you bear, the villager relents. 'It came from the old manor on the hill,' he whispers.""]"
"['105', 'Seraphina, a devoted cleric of the Sun God, on a mission to cleanse a blighted land.', 'A fearful villager is refusing to tell you about the source of the blight.', ""I try to reassure him, promising the Sun God's protection.""]","['Persuasion', 'Fail', ""The villager shakes his head, fear overriding any faith he might have. 'No! It will hear you! Leave us be!'""]"
"['105', 'Seraphina, a devoted cleric of the Sun God, on a mission to cleanse a blighted land.', 'You are in the blighted manor. You feel a palpable sense of dread and evil.', ""I can feel the evil here. I want to know where it's strongest.""]","['Divine Sense', 'Pass', ""You close your eyes and focus your divine senses. The evil is overwhelming, but its source is clear: it's coming from below, in the crypts beneath the manor.""]"
"['105', 'Seraphina, a devoted cleric of the Sun God, on a mission to cleanse a blighted land.', 'You are in the blighted manor. You feel a palpable sense of dread and evil.', ""I can feel the evil here. I want to know where it's strongest.""]","['Divine Sense', 'Fail', 'The entire manor is so saturated with evil energy that you cannot pinpoint a specific source. It is everywhere.']"
"['101', 'Elara, a nimble rogue who grew up on the city streets, seeks a legendary lost dagger.', 'You are sneaking through a heavily guarded mansion. You see a guard patrolling a hallway.', 'I attempt to sneak past the guard.']","['Stealth', 'Pass', ""You press yourself into an alcove, and the guard walks past, his heavy footsteps echoing in the hall. He didn't see you.""]"
"['101', 'Elara, a nimble rogue who grew up on the city streets, seeks a legendary lost dagger.', 'You are sneaking through a heavily guarded mansion. You see a guard patrolling a hallway.', 'I attempt to sneak past the guard.']","['Stealth', 'Fail', ""You knock over a suit of armor with a loud CLANG. The guard spins around, drawing his sword. 'Intruder!'""]"
"['101', 'Elara, a nimble rogue who grew up on the city streets, seeks a legendary lost dagger.', ""You have found the mansion's safe, but it is locked."", ""I use my thieves' tools to pick the lock.""]","[""Thieves' Tools"", 'Pass', 'With practiced ease, you manipulate the tumblers. You feel the final pin click into place, and the heavy door swings open.']"
"['101', 'Elara, a nimble rogue who grew up on the city streets, seeks a legendary lost dagger.', ""You have found the mansion's safe, but it is locked."", ""I use my thieves' tools to pick the lock.""]","[""Thieves' Tools"", 'Fail', 'The lock is fiendishly complex. You work at it for a minute before one of your picks snaps off inside the mechanism, jamming it completely.']"
"['102', 'Bjorn, a stoic barbarian from the northern mountains, exiled from his clan for a perceived weakness.', 'You are facing a rival warrior who is taunting you.', 'I ignore his taunts and ready my axe.']","['Wisdom', 'Pass', 'You control your rage, recognizing his words as a foolish attempt to make you reckless. You stand ready, calm and focused.']"
"['102', 'Bjorn, a stoic barbarian from the northern mountains, exiled from his clan for a perceived weakness.', 'You are facing a rival warrior who is taunting you.', 'I ignore his taunts and ready my axe.']","['Wisdom', 'Fail', 'His words find their mark, stoking the fires of your rage. You let out a yell and charge forward recklessly.']"
"['102', 'Bjorn, a stoic barbarian from the northern mountains, exiled from his clan for a perceived weakness.', 'You come across strange tracks in the snow.', 'I try to identify what kind of creature made these tracks.']","['Survival', 'Pass', ""You've seen tracks like this before in the high peaks. It's a Winter Wolf, a creature known for its cunning and ferocity.""]"
"['102', 'Bjorn, a stoic barbarian from the northern mountains, exiled from his clan for a perceived weakness.', 'You come across strange tracks in the snow.', 'I try to identify what kind of creature made these tracks.']","['Survival', 'Fail', ""The tracks are large and canine, but you don't recognize the specific creature. It's big, and that's all you can tell.""]"
"['102', 'Bjorn, a stoic barbarian from the northern mountains, exiled from his clan for a perceived weakness.', 'A heavy boulder blocks the entrance to a cave you need to enter.', 'I try to push the boulder out of the way.']","['Athletics', 'Pass', 'You plant your feet, grit your teeth, and push with all your might. With a mighty groan, the boulder rolls aside, revealing the cave entrance.']"
"['102', 'Bjorn, a stoic barbarian from the northern mountains, exiled from his clan for a perceived weakness.', 'A heavy boulder blocks the entrance to a cave you need to enter.', 'I try to push the boulder out of the way.']","['Athletics', 'Fail', ""Despite your incredible strength, the boulder is simply too large. It doesn't budge an inch.""]"
"['103', 'Lyra, a scholarly wizard who seeks forbidden knowledge from ancient ruins.', 'You are wading through a swamp.', 'I try to remember what my books said about the native creatures here.']","['Nature', 'Pass', 'You recall reading about Shambling Mounds in this region. They are dangerous plant creatures that can be hard to spot in this environment.']"
"['103', 'Lyra, a scholarly wizard who seeks forbidden knowledge from ancient ruins.', 'You are wading through a swamp.', 'I try to remember what my books said about the native creatures here.']","['Nature', 'Fail', 'Your knowledge is primarily of magical beasts and constructs; you know very little about the natural creatures of a swamp.']"
"['103', 'Lyra, a scholarly wizard who seeks forbidden knowledge from ancient ruins.', 'You see a magical glyph glowing on the floor ahead.', 'I try to discern its function.']","['Arcana', 'Pass', 'You recognize the glyph as a simple ward of alarm. Stepping on it will create a loud noise, but it is not physically harmful.']"
"['103', 'Lyra, a scholarly wizard who seeks forbidden knowledge from ancient ruins.', 'You see a magical glyph glowing on the floor ahead.', 'I try to discern its function.']","['Arcana', 'Fail', ""The magic is unfamiliar to you. You can tell it's a trap of some kind, but you don't know what it will do if triggered.""]"
"['103', 'Lyra, a scholarly wizard who seeks forbidden knowledge from ancient ruins.', 'A talking statue gives you a riddle to solve.', ""I think hard about the riddle's meaning.""]","['Intelligence', 'Pass', 'After a moment of thought, the answer becomes clear. You speak the correct answer, and the statue rumbles with satisfaction.']"
"['103', 'Lyra, a scholarly wizard who seeks forbidden knowledge from ancient ruins.', 'A talking statue gives you a riddle to solve.', ""I think hard about the riddle's meaning.""]","['Intelligence', 'Fail', 'The riddle is too clever. You propose an answer, but the statue remains silent and motionless. It is the wrong answer.']"
"['104', 'Finn, a charismatic bard who travels the world collecting stories and songs.', 'You are trying to cross a rickety rope bridge over a canyon.', 'I carefully make my way across the bridge.']","['Acrobatics', 'Pass', 'With a sure-footedness that belies the danger, you navigate the swaying bridge and make it to the other side without issue.']"
"['104', 'Finn, a charismatic bard who travels the world collecting stories and songs.', 'You are trying to cross a rickety rope bridge over a canyon.', 'I carefully make my way across the bridge.']","['Acrobatics', 'Fail', 'A rope snaps under your weight! You lose your footing and are now dangling precariously from the side of the bridge.']"
"['104', 'Finn, a charismatic bard who travels the world collecting stories and songs.', 'You need to create a distraction to help a friend escape.', 'I start a loud, obnoxious, and very public argument with a street vendor.']","['Performance', 'Pass', 'Your feigned outrage is completely convincing. A large crowd gathers to watch the spectacle, giving your friend the perfect cover to slip away unnoticed.']"
"['104', 'Finn, a charismatic bard who travels the world collecting stories and songs.', 'You need to create a distraction to help a friend escape.', 'I start a loud, obnoxious, and very public argument with a street vendor.']","['Performance', 'Fail', 'Your acting is unconvincing. The vendor just looks confused, and you only manage to draw the attention of a nearby city guard.']"
"['104', 'Finn, a charismatic bard who travels the world collecting stories and songs.', 'You are disguised as a guard to infiltrate a castle. Someone asks you a question only a real guard would know.', 'I try to bluff my way through the conversation.']","['Deception', 'Pass', 'You give a vague but authoritative-sounding answer. The other person seems satisfied and walks away, none the wiser.']"
"['104', 'Finn, a charismatic bard who travels the world collecting stories and songs.', 'You are disguised as a guard to infiltrate a castle. Someone asks you a question only a real guard would know.', 'I try to bluff my way through the conversation.']","['Deception', 'Fail', ""You hesitate for a moment too long, and your answer is unconvincing. The person's eyes narrow with suspicion. 'You're not a guard!'""]"
"['105', 'Seraphina, a devoted cleric of the Sun God, on a mission to cleanse a blighted land.', 'You are tending to the wounds of an injured soldier.', ""I use my healer's kit to bandage their wounds.""]","['Medicine', 'Pass', 'Your practiced hands clean and dress the wound expertly. The bleeding stops, and the soldier gives you a weak but grateful smile.']"
"['105', 'Seraphina, a devoted cleric of the Sun God, on a mission to cleanse a blighted land.', 'You are tending to the wounds of an injured soldier.', ""I use my healer's kit to bandage their wounds.""]","['Medicine', 'Fail', ""You do your best, but the wound is severe and your supplies are low. The bandage you apply is clumsy and doesn't fully stop the bleeding.""]"
"['105', 'Seraphina, a devoted cleric of the Sun God, on a mission to cleanse a blighted land.', 'You encounter a frightened animal that has been corrupted by the blight.', 'I attempt to calm the animal using gentle words and gestures.']","['Animal Handling', 'Pass', 'The animal seems to sense your peaceful intentions. It stops growling and cautiously allows you to approach.']"
"['105', 'Seraphina, a devoted cleric of the Sun God, on a mission to cleanse a blighted land.', 'You encounter a frightened animal that has been corrupted by the blight.', 'I attempt to calm the animal using gentle words and gestures.']","['Animal Handling', 'Fail', 'The corruption has driven the animal mad with fear and pain. It shrieks and lunges at you, ignoring your attempts to calm it.']"
"['105', 'Seraphina, a devoted cleric of the Sun God, on a mission to cleanse a blighted land.', 'You are trying to find a safe path through a cursed forest.', 'I look for signs of which path is least affected by the blight.']","['Survival', 'Pass', 'You notice that one path has healthy plants growing alongside it, while the other is surrounded by decay. The safer path is clear.']"
"['105', 'Seraphina, a devoted cleric of the Sun God, on a mission to cleanse a blighted land.', 'You are trying to find a safe path through a cursed forest.', 'I look for signs of which path is least affected by the blight.']","['Survival', 'Fail', 'The entire forest is so thoroughly corrupted that you cannot tell if one path is any safer than another. All directions look equally perilous.']"
"['101', 'Elara, a nimble rogue who grew up on the city streets, seeks a legendary lost dagger.', ""You are trying to remember the sigil of a particular thieves' guild."", 'I try to recall the symbol from my time on the streets.']","['History', 'Pass', ""The image comes to you clearly: a coiled serpent with a key in its mouth. That's the mark of the Shadow Scale guild.""]"
"['101', 'Elara, a nimble rogue who grew up on the city streets, seeks a legendary lost dagger.', ""You are trying to remember the sigil of a particular thieves' guild."", 'I try to recall the symbol from my time on the streets.']","['History', 'Fail', ""You remember hearing of the guild, but you can't for the life of you recall what their specific mark was.""]"
"['102', 'Bjorn, a stoic barbarian from the northern mountains, exiled from his clan for a perceived weakness.', 'You are in an arm-wrestling match with a local champion.', 'I use my raw strength to try and beat him.']","['Athletics', 'Pass', ""Your muscles bulge as you put your power into it. The champion's hand is slammed to the table with a loud thud. You are the new champion.""]"
"['102', 'Bjorn, a stoic barbarian from the northern mountains, exiled from his clan for a perceived weakness.', 'You are in an arm-wrestling match with a local champion.', 'I use my raw strength to try and beat him.']","['Athletics', 'Fail', 'The champion is surprisingly strong. Despite your best efforts, your hand is slowly and steadily forced down onto the table. You lose.']"
"['103', 'Lyra, a scholarly wizard who seeks forbidden knowledge from ancient ruins.', ""You've been poisoned."", 'I try to withstand the effects of the poison through sheer resilience.']","['Constitution', 'Pass', 'You feel the poison burn in your veins, but you grit your teeth and fight through it. The worst of the effects subside.']"
"['103', 'Lyra, a scholarly wizard who seeks forbidden knowledge from ancient ruins.', ""You've been poisoned."", 'I try to withstand the effects of the poison through sheer resilience.']","['Constitution', 'Fail', 'The poison overwhelms you. A wave of nausea and weakness washes over you, and your vision begins to blur.']"
"['104', 'Finn, a charismatic bard who travels the world collecting stories and songs.', ""You're trying to quickly don a disguise before someone sees you."", 'I quickly put on the disguise.']","['Sleight of Hand', 'Pass', 'In a few deft movements, you pull on a cloak, affix a false beard, and change your posture. You are unrecognizable.']"
"['104', 'Finn, a charismatic bard who travels the world collecting stories and songs.', ""You're trying to quickly don a disguise before someone sees you."", 'I quickly put on the disguise.']","['Sleight of Hand', 'Fail', 'You fumble with the disguise, getting the beard on crooked and tripping on the hem of the cloak. You look ridiculous, not disguised.']"
"['105', 'Seraphina, a devoted cleric of the Sun God, on a mission to cleanse a blighted land.', 'You pray to your god for guidance.', 'I ask my deity to show me the way forward.']","['Religion', 'Pass', 'You feel a calming presence and a gentle mental nudge, a feeling of certainty that you should head east, toward the rising sun.']"
"['105', 'Seraphina, a devoted cleric of the Sun God, on a mission to cleanse a blighted land.', 'You pray to your god for guidance.', 'I ask my deity to show me the way forward.']","['Religion', 'Fail', 'Your prayers feel like they are being absorbed by the oppressive darkness of this land. You receive no answer and feel only silence.']"
"['106', 'Kaelen, a grim ranger and sole survivor of a beast attack on his village. He now hunts monsters.', ""You are tracking a creature through the dense, humid jungles of the Serpent's Tooth peninsula."", '[SCENE_START]']","['None', 'N/A', 'The air is thick with the buzz of insects and the calls of strange birds. Massive, vine-choked trees blot out the sun, casting the jungle floor in a perpetual green twilight.']"
"['106', 'Kaelen, a grim ranger and sole survivor of a beast attack on his village. He now hunts monsters.', 'You are tracking a creature through the jungle. You come to a swift-moving river.', 'I look for a safe place to cross the river.']","['Survival', 'Pass', 'Your trained eyes spot a large, fallen tree just a bit upstream that forms a sturdy, natural bridge to the other side.']"
"['106', 'Kaelen, a grim ranger and sole survivor of a beast attack on his village. He now hunts monsters.', 'You are tracking a creature through the jungle. You come to a swift-moving river.', 'I look for a safe place to cross the river.']","['Survival', 'Fail', ""The river is wide and fast. You can't see any obvious safe crossing points nearby; you'll have to risk swimming or find another route.""]"
"['106', 'Kaelen, a grim ranger and sole survivor of a beast attack on his village. He now hunts monsters.', 'You find large, three-toed tracks in the mud near the riverbank.', 'I inspect the tracks to identify the creature.']","['Nature', 'Pass', ""You recognize the tracks. It's a Horned Gorilladon, a large and aggressive herbivore. The tracks are fresh, no more than an hour old.""]"
"['106', 'Kaelen, a grim ranger and sole survivor of a beast attack on his village. He now hunts monsters.', 'You find large, three-toed tracks in the mud near the riverbank.', 'I inspect the tracks to identify the creature.']","['Nature', 'Fail', ""The tracks are from a large creature, but you don't recognize the species. You can't tell if it's a predator or prey.""]"
"['106', 'Kaelen, a grim ranger and sole survivor of a beast attack on his village. He now hunts monsters.', 'You hear a rustling in the undergrowth nearby.', 'I ready my bow and try to move silently towards the sound.']","['Stealth', 'Pass', 'You move like a shadow through the jungle, making no sound. You peek through a large fern and see your quarry grazing in a small clearing.']"
"['106', 'Kaelen, a grim ranger and sole survivor of a beast attack on his village. He now hunts monsters.', 'You hear a rustling in the undergrowth nearby.', 'I ready my bow and try to move silently towards the sound.']","['Stealth', 'Fail', 'A dry twig snaps under your boot with a loud crack. The rustling stops, and you hear the creature crashing away through the jungle, alerted to your presence.']"
"['107', 'Alistair, a warlock who made a pact with an unknowable entity from beyond the stars. He is guided by its whispers.', 'You are exploring an abandoned asylum, searching for a lost occult text.', '[SCENE_START]']","['None', 'N/A', 'The hallway is dark, lit only by moonlight filtering through grimy windows. The peeling wallpaper looks like sunburnt skin, and the silence is broken by the drip-drip-drip of water somewhere nearby.']"
"['107', 'Alistair, a warlock who made a pact with an unknowable entity from beyond the stars. He is guided by its whispers.', ""You enter the asylum's old records room. A faint, ghostly sobbing can be heard."", 'I ask my otherworldly patron what this spirit is.']","['Pact Magic', 'Pass', ""A whisper enters your mind, not in a language, but as pure comprehension: 'A prisoner, forgotten by time, bound by regret. It fears the light.'""]"
"['107', 'Alistair, a warlock who made a pact with an unknowable entity from beyond the stars. He is guided by its whispers.', ""You enter the asylum's old records room. A faint, ghostly sobbing can be heard."", 'I ask my otherworldly patron what this spirit is.']","['Pact Magic', 'Fail', 'You reach out to your patron, but the whispers that return are a maddening cacophony of alien thoughts, giving you a splitting headache but no useful information.']"
"['107', 'Alistair, a warlock who made a pact with an unknowable entity from beyond the stars. He is guided by its whispers.', 'You find the occult text you were seeking, but it is written in a long-dead language.', 'I use my pact-given knowledge to translate the text.']","['History', 'Pass', 'The strange symbols swim in your vision and then resolve into meaning, a direct gift from your patron. The text describes a ritual of summoning.']"
"['107', 'Alistair, a warlock who made a pact with an unknowable entity from beyond the stars. He is guided by its whispers.', 'You find the occult text you were seeking, but it is written in a long-dead language.', 'I use my pact-given knowledge to translate the text.']","['History', 'Fail', ""Even with your patron's knowledge, the language is too ancient and obscure. You can only decipher a few words: '...portal...black sun...'""]"
"['107', 'Alistair, a warlock who made a pact with an unknowable entity from beyond the stars. He is guided by its whispers.', 'A rival cultist, also seeking the text, confronts you.', ""I try to scare him off by showing him a glimpse of my patron's power.""]","['Intimidation', 'Pass', 'Your eyes glow with an unsettling purple light. The cultist sees something indescribable in their depths, shrieks in terror, and flees the asylum.']"
