"input: player_input,check_required",output: outcome_type
"input: I ask my deity to show me the way forward.,Religion",output: Pass
"input: I ask my deity to show me the way forward.,Religion",output: Fail
"input: [SCENE_START],None",output: N/A
"input: I look for a safe place to cross the river.,Survival",output: Pass
"input: I look for a safe place to cross the river.,Survival",output: Fail
"input: I inspect the tracks to identify the creature.,Nature",output: Pass
"input: I inspect the tracks to identify the creature.,Nature",output: Fail
"input: I ready my bow and try to move silently towards the sound.,Stealth",output: Pass
"input: I ready my bow and try to move silently towards the sound.,Stealth",output: Fail
"input: [SCENE_START],None",output: N/A
"input: I ask my otherworldly patron what this spirit is.,Pact Magic",output: Pass
"input: I ask my otherworldly patron what this spirit is.,Pact Magic",output: Fail
"input: I use my pact-given knowledge to translate the text.,History",output: Pass
"input: I use my pact-given knowledge to translate the text.,History",output: Fail
"input: I try to scare him off by showing him a glimpse of my patron's power.,Intimidation",output: Pass
"input: I try to scare him off by showing him a glimpse of my patron's power.,Intimidation",output: Fail
"input: [SCENE_START],None",output: N/A
"input: I try to determine if the Baron is being deceptive.,Insight",output: Pass
"input: I try to determine if the Baron is being deceptive.,Insight",output: Fail
"input: I stand and publicly admonish the jester for his lack of honor.,Persuasion",output: Pass
"input: I stand and publicly admonish the jester for his lack of honor.,Persuasion",output: Fail
"input: I try to subtly knock the goblet from the king's hand before he drinks.,Sleight of Hand",output: Pass
"input: I try to subtly knock the goblet from the king's hand before he drinks.,Sleight of Hand",output: Fail
"input: I check the water for any hidden dangers before entering.,Perception",output: Pass
"input: I check the water for any hidden dangers before entering.,Perception",output: Fail
"input: I throw the stone with all my might.,Athletics",output: Pass
"input: I throw the stone with all my might.,Athletics",output: Fail
"input: I try to identify the potion and its intended effects.,Arcana",output: Pass
"input: I try to identify the potion and its intended effects.,Arcana",output: Fail
"input: I compose a short, flattering song about the guard's heroic vigil.,Performance",output: Pass
"input: I compose a short, flattering song about the guard's heroic vigil.,Performance",output: Fail
"input: I brace myself to keep my footing.,Dexterity",output: Pass
"input: I brace myself to keep my footing.,Dexterity",output: Fail
"input: I try to calm the wolf and tend to its wounds.,Animal Handling",output: Pass
"input: I try to calm the wolf and tend to its wounds.,Animal Handling",output: Fail
"input: I try to sense if the imp is trying to magically swindle me.,Insight",output: Pass
"input: I try to sense if the imp is trying to magically swindle me.,Insight",output: Fail
"input: I resist their interrogation, holding true to my oath.,Constitution",output: Pass
"input: I resist their interrogation, holding true to my oath.,Constitution",output: Fail
"input: I continue to move carefully along the ledge.,Acrobatics",output: Pass
"input: I continue to move carefully along the ledge.,Acrobatics",output: Fail
"input: I attempt to hold the portcullis open long enough for my friends to escape.,Athletics",output: Pass
"input: I attempt to hold the portcullis open long enough for my friends to escape.,Athletics",output: Fail
"input: I study the tapestry to understand the historical context of the battle.,History",output: Pass
"input: I study the tapestry to understand the historical context of the battle.,History",output: Fail
"input: I try to recall the ancient song.,Performance",output: Pass
"input: I try to recall the ancient song.,Performance",output: Fail
"input: I step between them and call for peace in the name of the Sun God.,Persuasion",output: Pass
"input: I step between them and call for peace in a God's name.,Persuasion",output: Fail
"input: I watch their patrol patterns to determine the best time to sneak in.,Investigation",output: Pass
"input: I watch their patrol patterns to determine the best time to sneak in.,Investigation",output: Fail
"input: I try to convince the magistrate that I am innocent of any crime.,Deception",output: Pass
"input: I try to convince the magistrate that I am innocent of any crime.,Deception",output: Fail
"input: I urge my horse to jump over the log.,Animal Handling",output: Pass
"input: I urge my horse to jump over the log.,Animal Handling",output: Fail
"input: [SCENE_START],None",output: N/A
"input: I attempt to disarm him using swift, non-lethal strikes.,Sleight of Hand",output: Pass
"input: I attempt to disarm him using swift, non-lethal strikes.,Sleight of Hand",output: Fail
"input: I try to find a pressure point on the most aggressive brawler to incapacitate him peacefully.,Medicine",output: Pass
"input: I try to find a pressure point on the most aggressive brawler to incapacitate him peacefully.,Medicine",output: Fail
"input: [SCENE_START],None",output: N/A
"input: I call upon the power of the forest to create a path of damp earth for them to escape.,Nature",output: Pass
"input: I call upon the power of the forest to create a path of damp earth for them to escape.,Nature",output: Fail
"input: I shapeshift into a great eagle to fly above the fire and find its source.,Druidic Magic",output: Pass
"input: I shapeshift into a great eagle to fly above the fire and find its source.,Druidic Magic",output: Fail
"input: I look for the trigger mechanism for the magical traps.,Investigation",output: Pass
"input: I look for the trigger mechanism for the magical traps.,Investigation",output: Fail
"input: I try to give my testimony as clearly as possible.,Persuasion",output: Pass
"input: I try to give my testimony as clearly as possible.,Persuasion",output: Fail
"input: I search my memory for any lore regarding obsidian golem weaknesses.,History",output: Pass
"input: I search my memory for any lore regarding obsidian golem weaknesses.,History",output: Fail
"input: I attempt to solve the riddle.,Intelligence",output: Pass
"input: I attempt to solve the riddle.,Intelligence",output: Fail
"input: I try to use my knowledge to diagnose the specific type of magical plague.,Medicine",output: Pass
"input: I try to use my knowledge to diagnose the specific type of magical plague.,Medicine",output: Fail
"input: I scan the horizon for any signs of an oasis or water source.,Survival",output: Pass
"input: I scan the horizon for any signs of an oasis or water source.,Survival",output: Fail
"input: I look for someone who seems out of place or shows signs of a dark pact.,Insight",output: Pass
"input: I look for someone who seems out of place or shows signs of a dark pact.,Insight",output: Fail
"input: I leap from one rooftop to the next in pursuit.,Athletics",output: Pass
"input: I leap from one rooftop to the next in pursuit.,Athletics",output: Fail
"input: I try to maintain my balance as I cross.,Acrobatics",output: Pass
"input: I try to maintain my balance as I cross.,Acrobatics",output: Fail
"input: I try to sneak past the sleeping bear.,Stealth",output: Pass
"input: I try to sneak past the sleeping bear.,Stealth",output: Fail
"input: I use my forgery kit to replicate the seal.,Forgery Kit",output: Pass
"input: I use my forgery kit to replicate the seal.,Forgery Kit",output: Fail
"input: I try to intimidate the chieftain into accepting our terms.,Intimidation",output: Pass
"input: I try to intimidate the chieftain into accepting our terms.,Intimidation",output: Fail
"input: I attempt to disarm the magical trap.,Arcana",output: Pass
"input: I attempt to disarm the magical trap.,Arcana",output: Fail
"input: I tell him a heroic and inspiring story about the potential discoveries.,Performance",output: Pass
"input: I tell him a heroic and inspiring story about the potential discoveries.,Performance",output: Fail
"input: I meditate and search my memory for the passage.,Religion",output: Pass
"input: I meditate and search my memory for the passage.,Religion",output: Fail
"input: I dive into the water to rescue the child.,Athletics",output: Pass
"input: I dive into the water to rescue the child.,Athletics",output: Fail
"input: I try to discern if there is any residual divine magic left in the statue.,Religion",output: Pass
"input: I try to discern if there is any residual divine magic left in the statue.,Religion",output: Fail
"input: I speak in my own defense, appealing to the court's sense of justice.,Persuasion",output: Pass
"input: I speak in my own defense, appealing to the court's sense of justice.,Persuasion",output: Fail
"input: I try to deflect the arrows with my open hands.,Acrobatics",output: Pass
"input: I try to deflect the arrows with my open hands.,Acrobatics",output: Fail
"input: I use my knowledge of nature to see if it's poisonous.,Nature",output: Pass
"input: I use my knowledge of nature to see if it's poisonous.,Nature",output: Fail
"input: I try to find shelter from the oppressive heat.,Survival",output: Pass
"input: I try to find shelter from the oppressive heat.,Survival",output: Fail
"input: I try to brace the mast with my raw strength.,Athletics",output: Pass
"input: I try to brace the mast with my raw strength.,Athletics",output: Fail
"input: I explain the principles of elemental magic to the court.,Arcana",output: Pass
"input: I explain the principles of elemental magic to the court.,Arcana",output: Fail
"input: I try to flatter the dragon, complimenting the luster of its scales.,Persuasion",output: Pass
"input: I try to flatter the dragon, complimenting the luster of its scales.,Persuasion",output: Fail
"input: I approach the creature cautiously and attempt to mend its wing with healing magic.,Animal Handling",output: Pass
"input: I approach the creature cautiously and attempt to mend its wing with healing magic.,Animal Handling",output: Fail
"input: I ask the old sailors at the docks if they've seen the creature.,Investigation",output: Pass
"input: I ask the old sailors at the docks if they've seen the creature.,Investigation",output: Fail
"input: I allow the whispers of my patron to guide my path.,Pact Magic",output: Pass
"input: I allow the whispers of my patron to guide my path.,Pact Magic",output: Fail
"input: I watch the diplomat's interactions closely, looking for any sign of treachery.,Insight",output: Pass
"input: I watch the diplomat's interactions closely, looking for any sign of treachery.,Insight",output: Fail
"input: I attempt to kick the door open.,Athletics",output: Pass
"input: I attempt to kick the door open.,Athletics",output: Fail
"input: I attempt to use my magic to encourage new life to grow.,Nature",output: Pass
"input: I attempt to use my magic to encourage new life to grow.,Nature",output: Fail
"input: I try to swim across the moat under the cover of darkness.,Stealth",output: Pass
"input: I try to swim across the moat under the cover of darkness.,Stealth",output: Fail
"input: I push through the illness with sheer toughness.,Constitution",output: Pass
"input: I push through the illness with sheer toughness.,Constitution",output: Fail
"input: I try to deduce the purpose of the mechanism.,Investigation",output: Pass
"input: I try to deduce the purpose of the mechanism.,Investigation",output: Fail
"input: I tell the children a silly story to make them laugh and forget their fears.,Performance",output: Pass
"input: I tell the children a silly story to make them laugh and forget their fears.,Performance",output: Fail
"input: I look for subtle signs of their allegiance, like a hidden holy symbol or coded language.,Insight",output: Pass
"input: I look for subtle signs of their allegiance, like a hidden holy symbol or coded language.,Insight",output: Fail
"input: I try to navigate the darkness using my other senses.,Perception",output: Pass
"input: I try to navigate the darkness using my other senses.,Perception",output: Fail
"input: I try to overwhelm my rival with a blast of pure eldritch power.,Arcana",output: Pass
"input: I try to overwhelm my rival with a blast of pure eldritch power.,Arcana",output: Fail
"input: I chop down a large tree to create a makeshift bridge.,Athletics",output: Pass
"input: I chop down a large tree to create a makeshift bridge.,Athletics",output: Fail
"input: I attempt to enter a state of calm and block out the distractions.,Wisdom",output: Pass
"input: I attempt to enter a state of calm and block out the distractions.,Wisdom",output: Fail
"input: I use my magic to find the nearest underground water source.,Survival",output: Pass
"input: I use my magic to find the nearest underground water source.,Survival",output: Fail
"input: I try to show them respect by observing their customs from a distance before approaching.,Nature",output: Pass
"input: I try to show them respect by observing their customs from a distance before approaching.,Nature",output: Fail
"input: I try to keep my balance as the ship rocks violently.,Acrobatics",output: Pass
"input: I try to keep my balance as the ship rocks violently.,Acrobatics",output: Fail
"input: I try to keep their spirits up with a tale of a past victory.,Performance",output: Pass
"input: I try to keep their spirits up with a tale of a past victory.,Performance",output: Fail
"input: I try to determine the nature of the altar's magic.,Religion",output: Pass
"input: I try to determine the nature of the altar's magic.,Religion",output: Fail
"input: I try to take it down with a single, clean shot from my bow.,Stealth",output: Pass
"input: I try to take it down with a single, clean shot from my bow.,Stealth",output: Fail
"input: I try to tell from the noble's expression which goblet is safe.,Insight",output: Pass
"input: I try to tell from the noble's expression which goblet is safe.,Insight",output: Fail
"input: I offer to pay for my passage by working as a deckhand and entertainer.,Persuasion",output: Pass
"input: I offer to pay for my passage by working as a deckhand and entertainer.,Persuasion",output: Fail
"input: I translate the hieroglyphs to learn the tomb owner's story.,History",output: Pass
"input: I translate the hieroglyphs to learn the tomb owner's story.,History",output: Fail
"input: I use my strength to pull myself up the thick branches.,Athletics",output: Pass
"input: I use my strength to pull myself up the thick branches.,Athletics",output: Fail
"input: I attempt to slip the note into my contact's pocket as I 'accidentally' bump into them.,Sleight of Hand",output: Pass
"input: I attempt to slip the note into my contact's pocket as I 'accidentally' bump into them.,Sleight of Hand",output: Fail
"input: I try to identify the type of magic used.,Arcana",output: Pass
"input: I try to identify the type of magic used.,Arcana",output: Fail
"input: I clear my mind and focus only on the rope and my goal.,Acrobatics",output: Pass
"input: I clear my mind and focus only on the rope and my goal.,Acrobatics",output: Fail
"input: I stand my ground and attempt to stop its charge with my shield.,Athletics",output: Pass
"input: I stand my ground and attempt to stop its charge with my shield.,Athletics",output: Fail
"input: I search the occult section for the specific tome.,Investigation",output: Pass
"input: I search the occult section for the specific tome.,Investigation",output: Fail
"input: I use my knowledge of herbs to create an antidote.,Medicine",output: Pass
"input: I use my knowledge of herbs to create an antidote.,Medicine",output: Fail
"input: I present the evidence I've gathered in a logical manner.,Persuasion",output: Pass
"input: I present the evidence I've gathered in a logical manner.,Persuasion",output: Fail
"input: I try to bribe a guard to deliver the message for me.,Deception",output: Pass
"input: I try to bribe a guard to deliver the message for me.,Deception",output: Fail
"input: I try to overload the barrier by channeling too much energy into it.,Arcana",output: Pass
"input: I try to overload the barrier by channeling too much energy into it.,Arcana",output: Fail
"input: I search for signs of their passage.,Survival",output: Pass
"input: I search for signs of their passage.,Survival",output: Fail
"input: I hold my breath and try to remain perfectly still in the shadows.,Stealth",output: Pass
"input: I hold my breath and try to remain perfectly still in the shadows.,Stealth",output: Fail
"input: I try to identify the plant and its properties.,Nature",output: Pass
"input: I try to identify the plant and its properties.,Nature",output: Fail
"input: I try to react faster than my opponent.,Dexterity",output: Pass
"input: I try to react faster than my opponent.,Dexterity",output: Fail
"input: I search my memory for the details of the family tree.,History",output: Pass
"input: I search my memory for the details of the family tree.,History",output: Fail
"input: I attempt to solve the puzzle.,Intelligence",output: Pass
"input: I attempt to solve the puzzle.,Intelligence",output: Fail
"input: I look for a defensible position with good visibility.,Survival",output: Pass
"input: I look for a defensible position with good visibility.,Survival",output: Fail
"input: I perform a holy ritual to consecrate the ground.,Religion",output: Pass
"input: I perform a holy ritual to consecrate the ground.,Religion",output: Fail
"input: I try to recall the story I heard from an old woman in the last village.,History",output: Pass
"input: I try to recall the story I heard from an old woman in the last village.,History",output: Fail
"input: I try to resist the trap's effects through sheer force of will.,Constitution",output: Pass
"input: I try to resist the trap's effects through sheer force of will.,Constitution",output: Fail
"input: I try to control my anger and not let the taunts get to me.,Wisdom",output: Pass
"input: I try to control my anger and not let the taunts get to me.,Wisdom",output: Fail
"input: I try to create a distraction to draw the guards away from the cell.,Deception",output: Pass
"input: I try to create a distraction to draw the guards away from the cell.,Deception",output: Fail
"input: I transform into a large bear to intimidate them.,Druidic Magic",output: Pass
"input: I transform into a large bear to intimidate them.,Druidic Magic",output: Fail
"input: I wait for the perfect moment to strike.,Sleight of Hand",output: Pass
"input: I wait for the perfect moment to strike.,Sleight of Hand",output: Fail
"input: I try to guide my horse safely through the terrain.,Animal Handling",output: Pass
"input: I try to guide my horse safely through the terrain.,Animal Handling",output: Fail
"input: I try to determine if the markings are part of a ritual.,Investigation",output: Pass
"input: I try to determine if the markings are part of a ritual.,Investigation",output: Fail
"input: I listen carefully to gather as many details as I can.,Perception",output: Pass
"input: I listen carefully to gather as many details as I can.,Perception",output: Fail
"input: I use my medical knowledge to treat the patient's symptoms.,Medicine",output: Pass
"input: I use my medical knowledge to treat the patient's symptoms.,Medicine",output: Fail
"input: I use gestures and pantomime to communicate with the locals.,Performance",output: Pass
"input: I use gestures and pantomime to communicate with the locals.,Performance",output: Fail
"input: I try to recognize the components and incantation of their spell.,Arcana",output: Pass
"input: I try to recognize the components and incantation of their spell.,Arcana",output: Fail
"input: I throw my full weight against the door.,Athletics",output: Pass
"input: I throw my full weight against the door.,Athletics",output: Fail
"input: I use my thieves' tools to carefully jam the mechanism.,Thieves' Tools",output: Pass
"input: I use my thieves' tools to carefully jam the mechanism.,Thieves' Tools",output: Fail
"input: I try to win their favor with an acrobatic flourish.,Performance",output: Pass
"input: I try to win their favor with an acrobatic flourish.,Performance",output: Fail
"input: I try to lift the crate off the sailor.,Athletics",output: Pass
"input: I try to lift the crate off the sailor.,Athletics",output: Fail
"input: I try to identify the poison's ingredients and effects.,Medicine",output: Pass
"input: I try to identify the poison's ingredients and effects.,Medicine",output: Fail
"input: I use the stars to navigate towards the town on the other side.,Survival",output: Pass
"input: I use the stars to navigate towards the town on the other side.,Survival",output: Fail
"input: I try to resist the magical charm by focusing on my holy symbol.,Wisdom",output: Pass
"input: I try to resist the magical charm by focusing on my holy symbol.,Wisdom",output: Fail
"input: I try to endure the extreme heat.,Constitution",output: Pass
"input: I try to endure the extreme heat.,Constitution",output: Fail
"input: I try to see through its illusions.,Investigation",output: Pass
"input: I try to see through its illusions.,Investigation",output: Fail
"input: I attempt to repair my shield myself.,Smith's Tools",output: Pass
"input: I attempt to repair my shield myself.,Smith's Tools",output: Fail
"input: I try to find a non-magical solution, like a hidden latch or pulley.,Perception",output: Pass
"input: I try to find a non-magical solution, like a hidden latch or pulley.,Perception",output: Fail
"input: I try to sense if there is any life left in the stone trees.,Nature",output: Pass
"input: I try to sense if there is any life left in the stone trees.,Nature",output: Fail
"input: I discreetly spread a juicy piece of gossip among the patrons.,Deception",output: Pass
"input: I discreetly spread a juicy piece of gossip among the patrons.,Deception",output: Fail
"input: I attempt to out-drink my opponent.,Constitution",output: Pass
"input: I attempt to out-drink my opponent.,Constitution",output: Fail
"input: I try to dodge out of the way.,Acrobatics",output: Pass
"input: I try to dodge out of the way.,Acrobatics",output: Fail
"input: I try to compose a masterpiece.,Performance",output: Pass
"input: I try to compose a masterpiece.,Performance",output: Fail
"input: I pray for guidance and strength.,Religion",output: Pass
"input: I pray for guidance and strength.,Religion",output: Fail
"input: I use my knowledge of the beast's habits to set a clever trap.,Survival",output: Pass
"input: I use my knowledge of the beast's habits to set a clever trap.,Survival",output: Fail
"input: I try to interpret the images it sends me.,Insight",output: Pass
"input: I try to interpret the images it sends me.,Insight",output: Fail
"input: I try to unseat my opponent.,Animal Handling",output: Pass
"input: I try to unseat my opponent.,Animal Handling",output: Fail
"input: I try to move with absolute silence.,Stealth",output: Pass
"input: I try to move with absolute silence.,Stealth",output: Fail
"input: I use my magic to cleanse the water.,Nature",output: Pass
"input: I use my magic to cleanse the water.,Nature",output: Fail
"input: I try to determine its value.,Investigation",output: Pass
"input: I try to determine its value.,Investigation",output: Fail
"input: I try to grapple it into submission.,Athletics",output: Pass
"input: I try to grapple it into submission.,Athletics",output: Fail
"input: I try to remember the correct sequence of runes to activate it.,History",output: Pass
"input: I try to remember the correct sequence of runes to activate it.,History",output: Fail
"input: I act as a neutral mediator and try to find a compromise.,Persuasion",output: Pass
"input: I act as a neutral mediator and try to find a compromise.,Persuasion",output: Fail
"input: I try to determine if the curse can be reversed.,Medicine",output: Pass
"input: I try to determine if the curse can be reversed.,Medicine",output: Fail
"input: I try to find subtle signs of passage.,Survival",output: Pass
"input: I try to find subtle signs of passage.,Survival",output: Fail
"input: I try to trick the demon into revealing its name.,Deception",output: Pass
"input: I try to trick the demon into revealing its name.,Deception",output: Fail
"input: I try to inspire them with a speech about duty and honor.,Performance",output: Pass
"input: I try to inspire them with a speech about duty and honor.,Performance",output: Fail
"input: I try to be faster than my master's eye.,Sleight of Hand",output: Pass
"input: I try to be faster than my master's eye.,Sleight of Hand",output: Fail
"input: I try to communicate with the local nature spirits.,Nature",output: Pass
"input: I try to communicate with the local nature spirits.,Nature",output: Fail
"input: I claim to be a messenger with an urgent delivery for the king.,Deception",output: Pass
"input: I claim to be a messenger with an urgent delivery for the king.,Deception",output: Fail
"input: I smash a large rock with my bare hands to show them my strength.,Intimidation",output: Pass
"input: I smash a large rock with my bare hands to show them my strength.,Intimidation",output: Fail
"input: I try to recall its description from a bestiary I've read.,History",output: Pass
"input: I try to recall its description from a bestiary I've read.,History",output: Fail
"input: I try to charm the merchant into giving me a discount.,Persuasion",output: Pass
"input: I try to charm the merchant into giving me a discount.,Persuasion",output: Fail
"input: I perform a ritual to restore the text.,Religion",output: Pass
"input: I perform a ritual to restore the text.,Religion",output: Fail
"input: I use my keen senses to navigate the darkness.,Perception",output: Pass
"input: I use my keen senses to navigate the darkness.,Perception",output: Fail
"input: I try to bind it to my will.,Intimidation",output: Pass
"input: I try to bind it to my will.,Intimidation",output: Fail
"input: I try to restore order with my commanding presence.,Persuasion",output: Pass
"input: I try to restore order with my commanding presence.,Persuasion",output: Fail
"input: I try to enter a meditative trance to block out the pain.,Constitution",output: Pass
"input: I try to enter a meditative trance to block out the pain.,Constitution",output: Fail
"input: I use my knowledge of plants to find it.,Nature",output: Pass
"input: I use my knowledge of plants to find it.,Nature",output: Fail
"input: I try to repair the clockwork mechanism with my tools.,Tinker's Tools",output: Pass
"input: I try to repair the clockwork mechanism with my tools.,Tinker's Tools",output: Fail
"input: I channel my divine power to turn the undead.,Religion",output: Pass
"input: I channel my divine power to turn the undead.,Religion",output: Fail
"input: I try to spot which of the attendees is the wealthiest.,Perception",output: Pass
"input: I try to spot which of the attendees is the wealthiest.,Perception",output: Fail
"input: I try to hold my ground against the strong current.,Athletics",output: Pass
"input: I try to hold my ground against the strong current.,Athletics",output: Fail
"input: I scan the book for any spells I don't already know.,Arcana",output: Pass
"input: I scan the book for any spells I don't already know.,Arcana",output: Fail
"input: I try to talk my way past the border guards by posing as a simple traveling minstrel.,Deception",output: Pass
"input: I try to talk my way past the border guards by posing as a simple traveling minstrel.,Deception",output: Fail
"input: I use my knowledge to triage their wounds and stop the bleeding.,Medicine",output: Pass
"input: I use my knowledge to triage their wounds and stop the bleeding.,Medicine",output: Fail
"input: I listen for the sound of its movement in the water.,Perception",output: Pass
"input: I listen for the sound of its movement in the water.,Perception",output: Fail
"input: I focus my mind and attempt to ignore the whispers.,Wisdom",output: Pass
"input: I focus my mind and attempt to ignore the whispers.,Wisdom",output: Fail
"input: I try to discern which of them is telling the truth.,Insight",output: Pass
"input: I try to discern which of them is telling the truth.,Insight",output: Fail
"input: I maintain my footing on the treacherous surface.,Acrobatics",output: Pass
"input: I try to maintain my footing on the treacherous surface.,Acrobatics",output: Fail
"input: I attempt to speak to them to find out what has them so upset.,Sylvan",output: Pass
"input: I attempt to speak to them to find out what has them so upset.,Sylvan",output: Fail
"input: I try to find a weak point in its mechanical joints.,Investigation",output: Pass
"input: I try to find a weak point in its mechanical joints.,Investigation",output: Fail
"input: I lay my hands on them and channel divine healing energy.,Medicine",output: Pass
"input: I lay my hands on them and channel divine healing energy.,Medicine",output: Fail
"input: I use my thieves' tools to try and open the cell door.,Thieves' Tools",output: Pass
"input: I use my thieves' tools to try and open the cell door.,Thieves' Tools",output: Fail
"input: I use my raw, brute strength to overwhelm him.,Athletics",output: Pass
"input: I use my raw, brute strength to overwhelm him.,Athletics",output: Fail
"input: I try to decode the message.,Intelligence",output: Pass
"input: I try to decode the message.,Intelligence",output: Fail
"input: I try to charm the information out of them.,Persuasion",output: Pass
"input: I try to charm the information out of them.,Persuasion",output: Fail
"input: I try to spot the source of the unnatural shadows.,Perception",output: Pass
"input: I try to spot the source of the unnatural shadows.,Perception",output: Fail
"input: I try to build a snow cave for shelter.,Survival",output: Pass
"input: I try to build a snow cave for shelter.,Survival",output: Fail
"input: I consult my patron about the nature of this object.,Investigation",output: Pass
"input: I consult my patron about the nature of this object.,Investigation",output: Fail
"input: I give a speech about courage and the strength of community.,Performance",output: Pass
"input: I give a speech about courage and the strength of community.,Performance",output: Fail
"input: I attempt to snatch the arrow out of the air.,Dexterity",output: Pass
"input: I attempt to snatch the arrow out of the air.,Dexterity",output: Fail
"input: I try to calm the bear so I can free it.,Animal Handling",output: Pass
"input: I try to calm the bear so I can free it.,Animal Handling",output: Fail
"input: I study the interaction between the gears and the arcane runes.,Arcana",output: Pass
"input: I study the interaction between the gears and the arcane runes.,Arcana",output: Fail
"input: I call upon my divine oath to protect me from the dark magic.,Constitution",output: Pass
