"input: player_id, character_backstory, scene_context, player_input","output: check_required, outcome_type"
"input: 105, Seraphina, a devoted cleric of the Sun God, on a mission to cleanse a blighted land., You find a villager whose child is suffering from a strange, magical illness., I use my divine magic to try and heal the child.","output: Medicine, Pass"
"input: 105, Seraphina, a devoted cleric of the Sun God, on a mission to cleanse a blighted land., You find a villager whose child is suffering from a strange, magical illness., I use my divine magic to try and heal the child.","output: Medicine, Fail"
"input: 105, Seraphina, a devoted cleric of the Sun God, on a mission to cleanse a blighted land., You are investigating the desecrated village temple. You see an unholy symbol painted on the altar., I try to identify the symbol.","output: Religion, Pass"
"input: 105, Seraphina, a devoted cleric of the Sun God, on a mission to cleanse a blighted land., You are investigating the desecrated village temple. You see an unholy symbol painted on the altar., I try to identify the symbol.","output: Religion, Fail"
"input: 105, Seraphina, a devoted cleric of the Sun God, on a mission to cleanse a blighted land., A fearful villager is refusing to tell you about the source of the blight., I try to reassure him, promising the Sun God's protection.","output: Persuasion, Pass"
"input: 105, Seraphina, a devoted cleric of the Sun God, on a mission to cleanse a blighted land., A fearful villager is refusing to tell you about the source of the blight., I try to reassure him, promising the Sun God's protection.","output: Persuasion, Fail"
"input: 105, Seraphina, a devoted cleric of the Sun God, on a mission to cleanse a blighted land., You are in the blighted manor. You feel a palpable sense of dread and evil., I can feel the evil here. I want to know where it's strongest.","output: Divine Sense, Pass"
"input: 105, Seraphina, a devoted cleric of the Sun God, on a mission to cleanse a blighted land., You are in the blighted manor. You feel a palpable sense of dread and evil., I can feel the evil here. I want to know where it's strongest.","output: Divine Sense, Fail"
"input: 101, Elara, a nimble rogue who grew up on the city streets, seeks a legendary lost dagger., You are sneaking through a heavily guarded mansion. You see a guard patrolling a hallway., I attempt to sneak past the guard.","output: Stealth, Pass"
"input: 101, Elara, a nimble rogue who grew up on the city streets, seeks a legendary lost dagger., You are sneaking through a heavily guarded mansion. You see a guard patrolling a hallway., I attempt to sneak past the guard.","output: Stealth, Fail"
"input: 101, Elara, a nimble rogue who grew up on the city streets, seeks a legendary lost dagger., You have found the mansion's safe, but it is locked., I use my thieves' tools to pick the lock.","output: Thieves' Tools, Pass"
"input: 101, Elara, a nimble rogue who grew up on the city streets, seeks a legendary lost dagger., You have found the mansion's safe, but it is locked., I use my thieves' tools to pick the lock.","output: Thieves' Tools, Fail"
"input: 102, Bjorn, a stoic barbarian from the northern mountains, exiled from his clan for a perceived weakness., You are facing a rival warrior who is taunting you., I ignore his taunts and ready my axe.","output: Wisdom, Pass"
"input: 102, Bjorn, a stoic barbarian from the northern mountains, exiled from his clan for a perceived weakness., You are facing a rival warrior who is taunting you., I ignore his taunts and ready my axe.","output: Wisdom, Fail"
"input: 102, Bjorn, a stoic barbarian from the northern mountains, exiled from his clan for a perceived weakness., You come across strange tracks in the snow., I try to identify what kind of creature made these tracks.","output: Survival, Pass"
"input: 102, Bjorn, a stoic barbarian from the northern mountains, exiled from his clan for a perceived weakness., You come across strange tracks in the snow., I try to identify what kind of creature made these tracks.","output: Survival, Fail"
"input: 102, Bjorn, a stoic barbarian from the northern mountains, exiled from his clan for a perceived weakness., A heavy boulder blocks the entrance to a cave you need to enter., I try to push the boulder out of the way.","output: Athletics, Pass"
"input: 102, Bjorn, a stoic barbarian from the northern mountains, exiled from his clan for a perceived weakness., A heavy boulder blocks the entrance to a cave you need to enter., I try to push the boulder out of the way.","output: Athletics, Fail"
"input: 103, Lyra, a scholarly wizard who seeks forbidden knowledge from ancient ruins., You are wading through a swamp., I try to remember what my books said about the native creatures here.","output: Nature, Pass"
"input: 103, Lyra, a scholarly wizard who seeks forbidden knowledge from ancient ruins., You are wading through a swamp., I try to remember what my books said about the native creatures here.","output: Nature, Fail"
"input: 103, Lyra, a scholarly wizard who seeks forbidden knowledge from ancient ruins., You see a magical glyph glowing on the floor ahead., I try to discern its function.","output: Arcana, Pass"
"input: 103, Lyra, a scholarly wizard who seeks forbidden knowledge from ancient ruins., You see a magical glyph glowing on the floor ahead., I try to discern its function.","output: Arcana, Fail"
"input: 103, Lyra, a scholarly wizard who seeks forbidden knowledge from ancient ruins., A talking statue gives you a riddle to solve., I think hard about the riddle's meaning.","output: Intelligence, Pass"
"input: 103, Lyra, a scholarly wizard who seeks forbidden knowledge from ancient ruins., A talking statue gives you a riddle to solve., I think hard about the riddle's meaning.","output: Intelligence, Fail"
"input: 104, Finn, a charismatic bard who travels the world collecting stories and songs., You are trying to cross a rickety rope bridge over a canyon., I carefully make my way across the bridge.","output: Acrobatics, Pass"
"input: 104, Finn, a charismatic bard who travels the world collecting stories and songs., You are trying to cross a rickety rope bridge over a canyon., I carefully make my way across the bridge.","output: Acrobatics, Fail"
"input: 104, Finn, a charismatic bard who travels the world collecting stories and songs., You need to create a distraction to help a friend escape., I start a loud, obnoxious, and very public argument with a street vendor.","output: Performance, Pass"
"input: 104, Finn, a charismatic bard who travels the world collecting stories and songs., You need to create a distraction to help a friend escape., I start a loud, obnoxious, and very public argument with a street vendor.","output: Performance, Fail"
"input: 104, Finn, a charismatic bard who travels the world collecting stories and songs., You are disguised as a guard to infiltrate a castle. Someone asks you a question only a real guard would know., I try to bluff my way through the conversation.","output: Deception, Pass"
"input: 104, Finn, a charismatic bard who travels the world collecting stories and songs., You are disguised as a guard to infiltrate a castle. Someone asks you a question only a real guard would know., I try to bluff my way through the conversation.","output: Deception, Fail"
"input: 105, Seraphina, a devoted cleric of the Sun God, on a mission to cleanse a blighted land., You are tending to the wounds of an injured soldier., I use my healer's kit to bandage their wounds.","output: Medicine, Pass"
"input: 105, Seraphina, a devoted cleric of the Sun God, on a mission to cleanse a blighted land., You are tending to the wounds of an injured soldier., I use my healer's kit to bandage their wounds.","output: Medicine, Fail"
"input: 105, Seraphina, a devoted cleric of the Sun God, on a mission to cleanse a blighted land., You encounter a frightened animal that has been corrupted by the blight., I attempt to calm the animal using gentle words and gestures.","output: Animal Handling, Pass"
"input: 105, Seraphina, a devoted cleric of the Sun God, on a mission to cleanse a blighted land., You encounter a frightened animal that has been corrupted by the blight., I attempt to calm the animal using gentle words and gestures.","output: Animal Handling, Fail"
"input: 105, Seraphina, a devoted cleric of the Sun God, on a mission to cleanse a blighted land., You are trying to find a safe path through a cursed forest., I look for signs of which path is least affected by the blight.","output: Survival, Pass"
"input: 105, Seraphina, a devoted cleric of the Sun God, on a mission to cleanse a blighted land., You are trying to find a safe path through a cursed forest., I look for signs of which path is least affected by the blight.","output: Survival, Fail"
"input: 101, Elara, a nimble rogue who grew up on the city streets, seeks a legendary lost dagger., You are trying to remember the sigil of a particular thieves' guild., I try to recall the symbol from my time on the streets.","output: History, Pass"
"input: 101, Elara, a nimble rogue who grew up on the city streets, seeks a legendary lost dagger., You are trying to remember the sigil of a particular thieves' guild., I try to recall the symbol from my time on the streets.","output: History, Fail"
"input: 102, Bjorn, a stoic barbarian from the northern mountains, exiled from his clan for a perceived weakness., You are in an arm-wrestling match with a local champion., I use my raw strength to try and beat him.","output: Athletics, Pass"
"input: 102, Bjorn, a stoic barbarian from the northern mountains, exiled from his clan for a perceived weakness., You are in an arm-wrestling match with a local champion., I use my raw strength to try and beat him.","output: Athletics, Fail"
"input: 103, Lyra, a scholarly wizard who seeks forbidden knowledge from ancient ruins., You've been poisoned., I try to withstand the effects of the poison through sheer resilience.","output: Constitution, Pass"
"input: 103, Lyra, a scholarly wizard who seeks forbidden knowledge from ancient ruins., You've been poisoned., I try to withstand the effects of the poison through sheer resilience.","output: Constitution, Fail"
"input: 104, Finn, a charismatic bard who travels the world collecting stories and songs., You're trying to quickly don a disguise before someone sees you., I quickly put on the disguise.","output: Sleight of Hand, Pass"
"input: 104, Finn, a charismatic bard who travels the world collecting stories and songs., You're trying to quickly don a disguise before someone sees you., I quickly put on the disguise.","output: Sleight of Hand, Fail"
"input: 105, Seraphina, a devoted cleric of the Sun God, on a mission to cleanse a blighted land., You pray to your god for guidance., I ask my deity to show me the way forward.","output: Religion, Pass"
"input: 105, Seraphina, a devoted cleric of the Sun God, on a mission to cleanse a blighted land., You pray to your god for guidance., I ask my deity to show me the way forward.","output: Religion, Fail"
"input: 106, Kaelen, a grim ranger and sole survivor of a beast attack on his village. He now hunts monsters., You are tracking a creature through the dense, humid jungles of the Serpent's Tooth peninsula., [SCENE_START]","output: None, N/A"
"input: 106, Kaelen, a grim ranger and sole survivor of a beast attack on his village. He now hunts monsters., You are tracking a creature through the jungle. You come to a swift-moving river., I look for a safe place to cross the river.","output: Survival, Pass"
"input: 106, Kaelen, a grim ranger and sole survivor of a beast attack on his village. He now hunts monsters., You are tracking a creature through the jungle. You come to a swift-moving river., I look for a safe place to cross the river.","output: Survival, Fail"
"input: 106, Kaelen, a grim ranger and sole survivor of a beast attack on his village. He now hunts monsters., You find large, three-toed tracks in the mud near the riverbank., I inspect the tracks to identify the creature.","output: Nature, Pass"
"input: 106, Kaelen, a grim ranger and sole survivor of a beast attack on his village. He now hunts monsters., You find large, three-toed tracks in the mud near the riverbank., I inspect the tracks to identify the creature.","output: Nature, Fail"
"input: 106, Kaelen, a grim ranger and sole survivor of a beast attack on his village. He now hunts monsters., You hear a rustling in the undergrowth nearby., I ready my bow and try to move silently towards the sound.","output: Stealth, Pass"
"input: 106, Kaelen, a grim ranger and sole survivor of a beast attack on his village. He now hunts monsters., You hear a rustling in the undergrowth nearby., I ready my bow and try to move silently towards the sound.","output: Stealth, Fail"
"input: 107, Alistair, a warlock who made a pact with an unknowable entity from beyond the stars. He is guided by its whispers., You are exploring an abandoned asylum, searching for a lost occult text., [SCENE_START]","output: None, N/A"
"input: 107, Alistair, a warlock who made a pact with an unknowable entity from beyond the stars. He is guided by its whispers., You enter the asylum's old records room. A faint, ghostly sobbing can be heard., I ask my otherworldly patron what this spirit is.","output: Pact Magic, Pass"
"input: 107, Alistair, a warlock who made a pact with an unknowable entity from beyond the stars. He is guided by its whispers., You enter the asylum's old records room. A faint, ghostly sobbing can be heard., I ask my otherworldly patron what this spirit is.","output: Pact Magic, Fail"
"input: 107, Alistair, a warlock who made a pact with an unknowable entity from beyond the stars. He is guided by its whispers., You find the occult text you were seeking, but it is written in a long-dead language., I use my pact-given knowledge to translate the text.","output: History, Pass"
"input: 107, Alistair, a warlock who made a pact with an unknowable entity from beyond the stars. He is guided by its whispers., You find the occult text you were seeking, but it is written in a long-dead language., I use my pact-given knowledge to translate the text.","output: History, Fail"
"input: 107, Alistair, a warlock who made a pact with an unknowable entity from beyond the stars. He is guided by its whispers., A rival cultist, also seeking the text, confronts you., I try to scare him off by showing him a glimpse of my patron's power.","output: Intimidation, Pass"
"input: 107, Alistair, a warlock who made a pact with an unknowable entity from beyond the stars. He is guided by its whispers., A rival cultist, also seeking the text, confronts you., I try to scare him off by showing him a glimpse of my patron's power.","output: Intimidation, Fail"
"input: 108, Ser Galahad, a noble knight sworn to an oath of chivalry and the protection of the innocent., You are attending a royal banquet in the king's grand hall., [SCENE_START]","output: None, N/A"
"input: 108, Ser Galahad, a noble knight sworn to an oath of chivalry and the protection of the innocent., You see the visiting Baron from the Westmarch speaking to the Queen. His smile seems forced., I try to determine if the Baron is being deceptive.","output: Insight, Pass"
"input: 108, Ser Galahad, a noble knight sworn to an oath of chivalry and the protection of the innocent., You see the visiting Baron from the Westmarch speaking to the Queen. His smile seems forced., I try to determine if the Baron is being deceptive.","output: Insight, Fail"
"input: 108, Ser Galahad, a noble knight sworn to an oath of chivalry and the protection of the innocent., During the feast, the Court Jester makes a cruel joke at the expense of a young squire., I stand and publicly admonish the jester for his lack of honor.","output: Persuasion, Pass"
"input: 108, Ser Galahad, a noble knight sworn to an oath of chivalry and the protection of the innocent., During the feast, the Court Jester makes a cruel joke at the expense of a young squire., I stand and publicly admonish the jester for his lack of honor.","output: Persuasion, Fail"
"input: 108, Ser Galahad, a noble knight sworn to an oath of chivalry and the protection of the innocent., An assassin disguised as a servant tries to poison the king's wine. You spot the vial in their hand., I try to subtly knock the goblet from the king's hand before he drinks.","output: Sleight of Hand, Pass"
"input: 108, Ser Galahad, a noble knight sworn to an oath of chivalry and the protection of the innocent., An assassin disguised as a servant tries to poison the king's wine. You spot the vial in their hand., I try to subtly knock the goblet from the king's hand before he drinks.","output: Sleight of Hand, Fail"
"input: 101, Elara, a nimble rogue who grew up on the city streets, seeks a legendary lost dagger., You are in the city sewers, tracking a notorious smuggler. The tunnel ahead is flooded with murky water., I check the water for any hidden dangers before entering.","output: Perception, Pass"
"input: 101, Elara, a nimble rogue who grew up on the city streets, seeks a legendary lost dagger., You are in the city sewers, tracking a notorious smuggler. The tunnel ahead is flooded with murky water., I check the water for any hidden dangers before entering.","output: Perception, Fail"
"input: 102, Bjorn, a stoic barbarian from the northern mountains, exiled from his clan for a perceived weakness., You are competing in a tournament. Your event is to throw a heavy stone farther than your opponent., I throw the stone with all my might.","output: Athletics, Pass"
"input: 102, Bjorn, a stoic barbarian from the northern mountains, exiled from his clan for a perceived weakness., You are competing in a tournament. Your event is to throw a heavy stone farther than your opponent., I throw the stone with all my might.","output: Athletics, Fail"
"input: 103, Lyra, a scholarly wizard who seeks forbidden knowledge from ancient ruins., You are in a magical workshop. You find a half-finished potion on a table., I try to identify the potion and its intended effects.","output: Arcana, Pass"
"input: 103, Lyra, a scholarly wizard who seeks forbidden knowledge from ancient ruins., You are in a magical workshop. You find a half-finished potion on a table., I try to identify the potion and its intended effects.","output: Arcana, Fail"
"input: 104, Finn, a charismatic bard who travels the world collecting stories and songs., You are trying to get past a guard who is blocking a door., I compose a short, flattering song about the guard's heroic vigil.","output: Performance, Pass"
"input: 104, Finn, a charismatic bard who travels the world collecting stories and songs., You are trying to get past a guard who is blocking a door., I compose a short, flattering song about the guard's heroic vigil.","output: Performance, Fail"
"input: 105, Seraphina, a devoted cleric of the Sun God, on a mission to cleanse a blighted land., You are walking through a graveyard tainted by dark magic. The ground beneath you begins to shake., I brace myself to keep my footing.","output: Dexterity, Pass"
"input: 105, Seraphina, a devoted cleric of the Sun God, on a mission to cleanse a blighted land., You are walking through a graveyard tainted by dark magic. The ground beneath you begins to shake., I brace myself to keep my footing.","output: Dexterity, Fail"
"input: 106, Kaelen, a grim ranger and sole survivor of a beast attack on his village. He now hunts monsters., You have cornered a wounded wolf. It is snarling but also looks frightened., I try to calm the wolf and tend to its wounds.","output: Animal Handling, Pass"
"input: 106, Kaelen, a grim ranger and sole survivor of a beast attack on his village. He now hunts monsters., You have cornered a wounded wolf. It is snarling but also looks frightened., I try to calm the wolf and tend to its wounds.","output: Animal Handling, Fail"
"input: 107, Alistair, a warlock who made a pact with an unknowable entity from beyond the stars. He is guided by its whispers., You are bartering with an imp for a soul coin. The imp is a known trickster., I try to sense if the imp is trying to magically swindle me.","output: Insight, Pass"
"input: 107, Alistair, a warlock who made a pact with an unknowable entity from beyond the stars. He is guided by its whispers., You are bartering with an imp for a soul coin. The imp is a known trickster., I try to sense if the imp is trying to magically swindle me.","output: Insight, Fail"
"input: 108, Ser Galahad, a noble knight sworn to an oath of chivalry and the protection of the innocent., You have been captured and are being interrogated. Your captors want to know the location of the rebel camp., I resist their interrogation, holding true to my oath.","output: Constitution, Pass"
"input: 108, Ser Galahad, a noble knight sworn to an oath of chivalry and the protection of the innocent., You have been captured and are being interrogated. Your captors want to know the location of the rebel camp., I resist their interrogation, holding true to my oath.","output: Constitution, Fail"
"input: 101, Elara, a nimble rogue who grew up on the city streets, seeks a legendary lost dagger., You are balancing on a narrow ledge high above the city streets., I continue to move carefully along the ledge.","output: Acrobatics, Pass"
"input: 101, Elara, a nimble rogue who grew up on the city streets, seeks a legendary lost dagger., You are balancing on a narrow ledge high above the city streets., I continue to move carefully along the ledge.","output: Acrobatics, Fail"
"input: 102, Bjorn, a stoic barbarian from the northern mountains, exiled from his clan for a perceived weakness., You are trapped in a flooding room. A heavy portcullis is the only exit, and it is slowly closing., I attempt to hold the portcullis open long enough for my friends to escape.","output: Athletics, Pass"
"input: 102, Bjorn, a stoic barbarian from the northern mountains, exiled from his clan for a perceived weakness., You are trapped in a flooding room. A heavy portcullis is the only exit, and it is slowly closing., I attempt to hold the portcullis open long enough for my friends to escape.","output: Athletics, Fail"
"input: 103, Lyra, a scholarly wizard who seeks forbidden knowledge from ancient ruins., You are shown an ancient tapestry depicting a great battle., I study the tapestry to understand the historical context of the battle.","output: History, Pass"
"input: 103, Lyra, a scholarly wizard who seeks forbidden knowledge from ancient ruins., You are shown an ancient tapestry depicting a great battle., I study the tapestry to understand the historical context of the battle.","output: History, Fail"
"input: 104, Finn, a charismatic bard who travels the world collecting stories and songs., You are trying to remember the lyrics to a lullaby that is said to soothe a mythical beast., I try to recall the ancient song.","output: Performance, Pass"
"input: 104, Finn, a charismatic bard who travels the world collecting stories and songs., You are trying to remember the lyrics to a lullaby that is said to soothe a mythical beast., I try to recall the ancient song.","output: Performance, Fail"
"input: 105, Seraphina, a devoted cleric of the Sun God, on a mission to cleanse a blighted land., You come across a group of villagers arguing, about to come to blows over their last bits of food., I step between them and call for peace in the name of the Sun God.","output: Persuasion, Pass"
"input: 105, Seraphina, a devoted cleric of the Sun God, on a mission to cleanse a blighted land., You come across a group of villagers arguing, about to come to blows over their last bits of food., I step between them and call for peace in a God's name.","output: Persuasion, Fail"
"input: 106, Kaelen, a grim ranger and sole survivor of a beast attack on his village. He now hunts monsters., You are hiding, observing a camp of goblins., I watch their patrol patterns to determine the best time to sneak in.","output: Investigation, Pass"
"input: 106, Kaelen, a grim ranger and sole survivor of a beast attack on his village. He now hunts monsters., You are hiding, observing a camp of goblins., I watch their patrol patterns to determine the best time to sneak in.","output: Investigation, Fail"
"input: 107, Alistair, a warlock who made a pact with an unknowable entity from beyond the stars. He is guided by its whispers., You have been arrested under suspicion of dark magic. The magistrate is questioning you., I try to convince the magistrate that I am innocent of any crime.","output: Deception, Pass"
"input: 107, Alistair, a warlock who made a pact with an unknowable entity from beyond the stars. He is guided by its whispers., You have been arrested under suspicion of dark magic. The magistrate is questioning you., I try to convince the magistrate that I am innocent of any crime.","output: Deception, Fail"
"input: 108, Ser Galahad, a noble knight sworn to an oath of chivalry and the protection of the innocent., You are riding your horse at a full gallop to deliver an urgent message. A fallen log blocks the path., I urge my horse to jump over the log.","output: Animal Handling, Pass"
"input: 108, Ser Galahad, a noble knight sworn to an oath of chivalry and the protection of the innocent., You are riding your horse at a full gallop to deliver an urgent message. A fallen log blocks the path., I urge my horse to jump over the log.","output: Animal Handling, Fail"
"input: 109, Caelus, a monk raised in a remote mountain monastery. He seeks to find personal balance in a chaotic world., You are in a rowdy tavern. A fight has broken out between two drunken patrons., [SCENE_START]","output: None, N/A"
"input: 109, Caelus, a monk raised in a remote mountain monastery. He seeks to find personal balance in a chaotic world., A tavern brawl is escalating. One of the patrons smashes a chair and wields a broken leg as a club., I attempt to disarm him using swift, non-lethal strikes.","output: Sleight of Hand, Pass"
"input: 109, Caelus, a monk raised in a remote mountain monastery. He seeks to find personal balance in a chaotic world., A tavern brawl is escalating. One of the patrons smashes a chair and wields a broken leg as a club., I attempt to disarm him using swift, non-lethal strikes.","output: Sleight of Hand, Fail"
"input: 109, Caelus, a monk raised in a remote mountain monastery. He seeks to find personal balance in a chaotic world., The tavern brawl is getting out of hand, threatening to injure innocent bystanders., I try to find a pressure point on the most aggressive brawler to incapacitate him peacefully.","output: Medicine, Pass"
"input: 109, Caelus, a monk raised in a remote mountain monastery. He seeks to find personal balance in a chaotic world., The tavern brawl is getting out of hand, threatening to injure innocent bystanders., I try to find a pressure point on the most aggressive brawler to incapacitate him peacefully.","output: Medicine, Fail"
"input: 110, Nessa, a druid who is the sworn protector of an ancient forest and can speak with its creatures., A large forest fire is raging, spreading quickly through the dry underbrush., [SCENE_START]","output: None, N/A"
"input: 110, Nessa, a druid who is the sworn protector of an ancient forest and can speak with its creatures., A forest fire is spreading. You see a family of deer trapped by the flames., I call upon the power of the forest to create a path of damp earth for them to escape.","output: Nature, Pass"
"input: 110, Nessa, a druid who is the sworn protector of an ancient forest and can speak with its creatures., A forest fire is spreading. You see a family of deer trapped by the flames., I call upon the power of the forest to create a path of damp earth for them to escape.","output: Nature, Fail"
"input: 110, Nessa, a druid who is the sworn protector of an ancient forest and can speak with its creatures., The forest fire is out of control., I shapeshift into a great eagle to fly above the fire and find its source.","output: Druidic Magic, Pass"
"input: 110, Nessa, a druid who is the sworn protector of an ancient forest and can speak with its creatures., The forest fire is out of control., I shapeshift into a great eagle to fly above the fire and find its source.","output: Druidic Magic, Fail"
"input: 101, Elara, a nimble rogue who grew up on the city streets, seeks a legendary lost dagger., You are in the king's treasury, a room filled with gold coins and guarded by magical wards., I look for the trigger mechanism for the magical traps.","output: Investigation, Pass"
"input: 101, Elara, a nimble rogue who grew up on the city streets, seeks a legendary lost dagger., You are in the king's treasury, a room filled with gold coins and guarded by magical wards., I look for the trigger mechanism for the magical traps.","output: Investigation, Fail"
"input: 102, Bjorn, a stoic barbarian from the northern mountains, exiled from his clan for a perceived weakness., You are in a formal courtroom, having been called as a witness., I try to give my testimony as clearly as possible.","output: Persuasion, Pass"
