input:  [ACTION]: player_input,output: [CHECK]: check_required
input:  [ACTION]: I ask the old sailors at the docks if they've seen the creature.,output: [CHECK]: Investigation
input:  [ACTION]: I allow the whispers of my patron to guide my path.,output: [CHECK]: Pact Magic
input:  [ACTION]: I allow the whispers of my patron to guide my path.,output: [CHECK]: Pact Magic
"input:  [ACTION]: I watch the diplomat's interactions closely, looking for any sign of treachery.",output: [CHECK]: Insight
"input:  [ACTION]: I watch the diplomat's interactions closely, looking for any sign of treachery.",output: [CHECK]: Insight
input:  [ACTION]: I attempt to kick the door open.,output: [CHECK]: Athletics
input:  [ACTION]: I attempt to kick the door open.,output: [CHECK]: Athletics
input:  [ACTION]: I attempt to use my magic to encourage new life to grow.,output: [CHECK]: Nature
input:  [ACTION]: I attempt to use my magic to encourage new life to grow.,output: [CHECK]: Nature
input:  [ACTION]: I try to swim across the moat under the cover of darkness.,output: [CHECK]: Stealth
input:  [ACTION]: I try to swim across the moat under the cover of darkness.,output: [CHECK]: Stealth
input:  [ACTION]: I push through the illness with sheer toughness.,output: [CHECK]: Constitution
input:  [ACTION]: I push through the illness with sheer toughness.,output: [CHECK]: Constitution
input:  [ACTION]: I try to deduce the purpose of the mechanism.,output: [CHECK]: Investigation
input:  [ACTION]: I try to deduce the purpose of the mechanism.,output: [CHECK]: Investigation
input:  [ACTION]: I tell the children a silly story to make them laugh and forget their fears.,output: [CHECK]: Performance
input:  [ACTION]: I tell the children a silly story to make them laugh and forget their fears.,output: [CHECK]: Performance
"input:  [ACTION]: I look for subtle signs of their allegiance, like a hidden holy symbol or coded language.",output: [CHECK]: Insight
"input:  [ACTION]: I look for subtle signs of their allegiance, like a hidden holy symbol or coded language.",output: [CHECK]: Insight
input:  [ACTION]: I try to navigate the darkness using my other senses.,output: [CHECK]: Perception
input:  [ACTION]: I try to navigate the darkness using my other senses.,output: [CHECK]: Perception
input:  [ACTION]: I try to overwhelm my rival with a blast of pure eldritch power.,output: [CHECK]: Arcana
input:  [ACTION]: I try to overwhelm my rival with a blast of pure eldritch power.,output: [CHECK]: Arcana
input:  [ACTION]: I chop down a large tree to create a makeshift bridge.,output: [CHECK]: Athletics
input:  [ACTION]: I chop down a large tree to create a makeshift bridge.,output: [CHECK]: Athletics
input:  [ACTION]: I attempt to enter a state of calm and block out the distractions.,output: [CHECK]: Wisdom
input:  [ACTION]: I attempt to enter a state of calm and block out the distractions.,output: [CHECK]: Wisdom
input:  [ACTION]: I use my magic to find the nearest underground water source.,output: [CHECK]: Survival
input:  [ACTION]: I use my magic to find the nearest underground water source.,output: [CHECK]: Survival
input:  [ACTION]: I try to show them respect by observing their customs from a distance before approaching.,output: [CHECK]: Nature
input:  [ACTION]: I try to show them respect by observing their customs from a distance before approaching.,output: [CHECK]: Nature
input:  [ACTION]: I try to keep my balance as the ship rocks violently.,output: [CHECK]: Acrobatics
input:  [ACTION]: I try to keep my balance as the ship rocks violently.,output: [CHECK]: Acrobatics
input:  [ACTION]: I try to keep their spirits up with a tale of a past victory.,output: [CHECK]: Performance
input:  [ACTION]: I try to keep their spirits up with a tale of a past victory.,output: [CHECK]: Performance
input:  [ACTION]: I try to determine the nature of the altar's magic.,output: [CHECK]: Religion
input:  [ACTION]: I try to determine the nature of the altar's magic.,output: [CHECK]: Religion
"input:  [ACTION]: I try to take it down with a single, clean shot from my bow.",output: [CHECK]: Stealth
"input:  [ACTION]: I try to take it down with a single, clean shot from my bow.",output: [CHECK]: Stealth
input:  [ACTION]: I try to tell from the noble's expression which goblet is safe.,output: [CHECK]: Insight
input:  [ACTION]: I try to tell from the noble's expression which goblet is safe.,output: [CHECK]: Insight
input:  [ACTION]: I offer to pay for my passage by working as a deckhand and entertainer.,output: [CHECK]: Persuasion
input:  [ACTION]: I offer to pay for my passage by working as a deckhand and entertainer.,output: [CHECK]: Persuasion
input:  [ACTION]: I translate the hieroglyphs to learn the tomb owner's story.,output: [CHECK]: History
input:  [ACTION]: I translate the hieroglyphs to learn the tomb owner's story.,output: [CHECK]: History
input:  [ACTION]: I use my strength to pull myself up the thick branches.,output: [CHECK]: Athletics
input:  [ACTION]: I use my strength to pull myself up the thick branches.,output: [CHECK]: Athletics
input:  [ACTION]: I attempt to slip the note into my contact's pocket as I 'accidentally' bump into them.,output: [CHECK]: Sleight of Hand
input:  [ACTION]: I attempt to slip the note into my contact's pocket as I 'accidentally' bump into them.,output: [CHECK]: Sleight of Hand
input:  [ACTION]: I try to identify the type of magic used.,output: [CHECK]: Arcana
input:  [ACTION]: I try to identify the type of magic used.,output: [CHECK]: Arcana
input:  [ACTION]: I clear my mind and focus only on the rope and my goal.,output: [CHECK]: Acrobatics
input:  [ACTION]: I clear my mind and focus only on the rope and my goal.,output: [CHECK]: Acrobatics
input:  [ACTION]: I stand my ground and attempt to stop its charge with my shield.,output: [CHECK]: Athletics
input:  [ACTION]: I stand my ground and attempt to stop its charge with my shield.,output: [CHECK]: Athletics
input:  [ACTION]: I search the occult section for the specific tome.,output: [CHECK]: Investigation
input:  [ACTION]: I search the occult section for the specific tome.,output: [CHECK]: Investigation
input:  [ACTION]: I use my knowledge of herbs to create an antidote.,output: [CHECK]: Medicine
input:  [ACTION]: I use my knowledge of herbs to create an antidote.,output: [CHECK]: Medicine
input:  [ACTION]: I present the evidence I've gathered in a logical manner.,output: [CHECK]: Persuasion
input:  [ACTION]: I present the evidence I've gathered in a logical manner.,output: [CHECK]: Persuasion
input:  [ACTION]: I try to bribe a guard to deliver the message for me.,output: [CHECK]: Deception
input:  [ACTION]: I try to bribe a guard to deliver the message for me.,output: [CHECK]: Deception
input:  [ACTION]: I try to overload the barrier by channeling too much energy into it.,output: [CHECK]: Arcana
input:  [ACTION]: I try to overload the barrier by channeling too much energy into it.,output: [CHECK]: Arcana
input:  [ACTION]: I search for signs of their passage.,output: [CHECK]: Survival
input:  [ACTION]: I search for signs of their passage.,output: [CHECK]: Survival
input:  [ACTION]: I hold my breath and try to remain perfectly still in the shadows.,output: [CHECK]: Stealth
input:  [ACTION]: I hold my breath and try to remain perfectly still in the shadows.,output: [CHECK]: Stealth
input:  [ACTION]: I try to identify the plant and its properties.,output: [CHECK]: Nature
input:  [ACTION]: I try to identify the plant and its properties.,output: [CHECK]: Nature
input:  [ACTION]: I try to react faster than my opponent.,output: [CHECK]: Dexterity
input:  [ACTION]: I try to react faster than my opponent.,output: [CHECK]: Dexterity
input:  [ACTION]: I search my memory for the details of the family tree.,output: [CHECK]: History
input:  [ACTION]: I search my memory for the details of the family tree.,output: [CHECK]: History
input:  [ACTION]: I attempt to solve the puzzle.,output: [CHECK]: Intelligence
input:  [ACTION]: I attempt to solve the puzzle.,output: [CHECK]: Intelligence
input:  [ACTION]: I look for a defensible position with good visibility.,output: [CHECK]: Survival
input:  [ACTION]: I look for a defensible position with good visibility.,output: [CHECK]: Survival
input:  [ACTION]: I perform a holy ritual to consecrate the ground.,output: [CHECK]: Religion
input:  [ACTION]: I perform a holy ritual to consecrate the ground.,output: [CHECK]: Religion
input:  [ACTION]: I try to recall the story I heard from an old woman in the last village.,output: [CHECK]: History
input:  [ACTION]: I try to recall the story I heard from an old woman in the last village.,output: [CHECK]: History
input:  [ACTION]: I try to resist the trap's effects through sheer force of will.,output: [CHECK]: Constitution
input:  [ACTION]: I try to resist the trap's effects through sheer force of will.,output: [CHECK]: Constitution
input:  [ACTION]: I try to control my anger and not let the taunts get to me.,output: [CHECK]: Wisdom
input:  [ACTION]: I try to control my anger and not let the taunts get to me.,output: [CHECK]: Wisdom
input:  [ACTION]: I try to create a distraction to draw the guards away from the cell.,output: [CHECK]: Deception
input:  [ACTION]: I try to create a distraction to draw the guards away from the cell.,output: [CHECK]: Deception
input:  [ACTION]: I transform into a large bear to intimidate them.,output: [CHECK]: Druidic Magic
input:  [ACTION]: I transform into a large bear to intimidate them.,output: [CHECK]: Druidic Magic
input:  [ACTION]: I wait for the perfect moment to strike.,output: [CHECK]: Sleight of Hand
input:  [ACTION]: I wait for the perfect moment to strike.,output: [CHECK]: Sleight of Hand
input:  [ACTION]: I try to guide my horse safely through the terrain.,output: [CHECK]: Animal Handling
input:  [ACTION]: I try to guide my horse safely through the terrain.,output: [CHECK]: Animal Handling
input:  [ACTION]: I try to determine if the markings are part of a ritual.,output: [CHECK]: Investigation
input:  [ACTION]: I try to determine if the markings are part of a ritual.,output: [CHECK]: Investigation
input:  [ACTION]: I listen carefully to gather as many details as I can.,output: [CHECK]: Perception
input:  [ACTION]: I listen carefully to gather as many details as I can.,output: [CHECK]: Perception
input:  [ACTION]: I use my medical knowledge to treat the patient's symptoms.,output: [CHECK]: Medicine
input:  [ACTION]: I use my medical knowledge to treat the patient's symptoms.,output: [CHECK]: Medicine
input:  [ACTION]: I use gestures and pantomime to communicate with the locals.,output: [CHECK]: Performance
input:  [ACTION]: I use gestures and pantomime to communicate with the locals.,output: [CHECK]: Performance
input:  [ACTION]: I try to recognize the components and incantation of their spell.,output: [CHECK]: Arcana
input:  [ACTION]: I try to recognize the components and incantation of their spell.,output: [CHECK]: Arcana
input:  [ACTION]: I throw my full weight against the door.,output: [CHECK]: Athletics
input:  [ACTION]: I throw my full weight against the door.,output: [CHECK]: Athletics
input:  [ACTION]: I use my thieves' tools to carefully jam the mechanism.,output: [CHECK]: Thieves' Tools
input:  [ACTION]: I use my thieves' tools to carefully jam the mechanism.,output: [CHECK]: Thieves' Tools
input:  [ACTION]: I try to win their favor with an acrobatic flourish.,output: [CHECK]: Performance
input:  [ACTION]: I try to win their favor with an acrobatic flourish.,output: [CHECK]: Performance
input:  [ACTION]: I try to lift the crate off the sailor.,output: [CHECK]: Athletics
input:  [ACTION]: I try to lift the crate off the sailor.,output: [CHECK]: Athletics
input:  [ACTION]: I try to identify the poison's ingredients and effects.,output: [CHECK]: Medicine
input:  [ACTION]: I try to identify the poison's ingredients and effects.,output: [CHECK]: Medicine
input:  [ACTION]: I use the stars to navigate towards the town on the other side.,output: [CHECK]: Survival
input:  [ACTION]: I use the stars to navigate towards the town on the other side.,output: [CHECK]: Survival
input:  [ACTION]: I try to resist the magical charm by focusing on my holy symbol.,output: [CHECK]: Wisdom
input:  [ACTION]: I try to resist the magical charm by focusing on my holy symbol.,output: [CHECK]: Wisdom
input:  [ACTION]: I try to endure the extreme heat.,output: [CHECK]: Constitution
input:  [ACTION]: I try to endure the extreme heat.,output: [CHECK]: Constitution
input:  [ACTION]: I try to see through its illusions.,output: [CHECK]: Investigation
input:  [ACTION]: I try to see through its illusions.,output: [CHECK]: Investigation
input:  [ACTION]: I attempt to repair my shield myself.,output: [CHECK]: Smith's Tools
input:  [ACTION]: I attempt to repair my shield myself.,output: [CHECK]: Smith's Tools
"input:  [ACTION]: I try to find a non-magical solution, like a hidden latch or pulley.",output: [CHECK]: Perception
"input:  [ACTION]: I try to find a non-magical solution, like a hidden latch or pulley.",output: [CHECK]: Perception
input:  [ACTION]: I try to sense if there is any life left in the stone trees.,output: [CHECK]: Nature
input:  [ACTION]: I try to sense if there is any life left in the stone trees.,output: [CHECK]: Nature
input:  [ACTION]: I discreetly spread a juicy piece of gossip among the patrons.,output: [CHECK]: Deception
input:  [ACTION]: I discreetly spread a juicy piece of gossip among the patrons.,output: [CHECK]: Deception
input:  [ACTION]: I attempt to out-drink my opponent.,output: [CHECK]: Constitution
