input:  [ACTION]: player_input [CHECK]: check_required [PASS/FAIL]: outcome_type,output: [OUTCOME]: outcome_description
input:  [ACTION]: I try to decipher the arcane lock. [CHECK]: Arcana [PASS/FAIL]: Fail,output: [OUTCOME]: The runes are unlike anything you've ever seen. Your attempts to manipulate the magical energies of the lock result in a harmless but bright flash of pink light. The lock remains sealed.
"input:  [ACTION]: I try to reason with the spirit, explaining I'm here to preserve its knowledge. [CHECK]: Persuasion [PASS/FAIL]: Pass","output: [OUTCOME]: The spirit lowers its hand, its expression softening from anger to sorrow. It nods slowly, gesturing for you to continue your work, but to be respectful."
"input:  [ACTION]: I try to reason with the spirit, explaining I'm here to preserve its knowledge. [CHECK]: Persuasion [PASS/FAIL]: Fail","output: [OUTCOME]: The spirit is beyond reason. Your words do nothing to soothe it. It lets out another shriek and flies towards you, intent on driving you out."
input:  [ACTION]: I examine the wall for secret passages. [CHECK]: Investigation [PASS/FAIL]: Pass,"output: [OUTCOME]: Your fingers trace the outline of the stones. You press one, and a section of the bookshelf grinds open, revealing a hidden chamber."
input:  [ACTION]: I examine the wall for secret passages. [CHECK]: Investigation [PASS/FAIL]: Fail,"output: [OUTCOME]: You spend several minutes examining the wall, but it seems to be just solid stone. Perhaps it was just a trick of the light."
input:  [ACTION]: I attempt to memorize the spell written on the scroll. [CHECK]: Intelligence [PASS/FAIL]: Pass,"output: [OUTCOME]: You focus your mind, and the complex magical formula settles into your memory. You have successfully learned a new spell."
input:  [ACTION]: I attempt to memorize the spell written on the scroll. [CHECK]: Intelligence [PASS/FAIL]: Fail,"output: [OUTCOME]: The magic is too powerful or too complex. As you try to grasp it, the words seem to slip from your mind like water. The spell is not learned."
input:  [ACTION]: I try to win over the crowd with a lively song. [CHECK]: Performance [PASS/FAIL]: Pass,"output: [OUTCOME]: Your music is infectious! The crowd claps and cheers, and a shower of coins lands on the stage at your feet."
input:  [ACTION]: I try to win over the crowd with a lively song. [CHECK]: Performance [PASS/FAIL]: Fail,"output: [OUTCOME]: You hit a sour note on your lute, and the song falls flat. The crowd seems unimpressed, and a few people even begin to boo."
input:  [ACTION]: I try to talk my way out of the fine with a charming smile and a silver tongue. [CHECK]: Deception [PASS/FAIL]: Pass,"output: [OUTCOME]: You spin a tale about performing for a noble's sick child. The guard softens. 'Alright, just... don't let me see you here again without a permit.'"
input:  [ACTION]: I try to talk my way out of the fine with a charming smile and a silver tongue. [CHECK]: Deception [PASS/FAIL]: Fail,"output: [OUTCOME]: The guard is unmoved by your charm. 'I've heard it all before. Pay the 10 gold fine, or you'll spend the night in the cells.'"
"input:  [ACTION]: I flatter the Duke, complimenting his impeccable fashion sense. [CHECK]: Persuasion [PASS/FAIL]: Pass","output: [OUTCOME]: The Duke puffs out his chest, beaming with pride. 'Ah, an eye for quality! You are a man of taste. What was it you needed again?'"
"input:  [ACTION]: I flatter the Duke, complimenting his impeccable fashion sense. [CHECK]: Persuasion [PASS/FAIL]: Fail","output: [OUTCOME]: The Duke sneers. 'Do not try your cheap flattery on me, peasant. State your business and be gone.'"
input:  [ACTION]: I listen in on the conversations around me. [CHECK]: Perception [PASS/FAIL]: Pass,output: [OUTCOME]: You overhear a pair of merchants talking about a recent caravan ambush on the North Road. They mention the 'Red Fang' goblins.
input:  [ACTION]: I listen in on the conversations around me. [CHECK]: Perception [PASS/FAIL]: Fail,"output: [OUTCOME]: The tavern is too loud, filled with drunken singing and laughter. You can't make out any specific conversations."
input:  [ACTION]: [SCENE_START] [CHECK]: None [PASS/FAIL]: N/A,"output: [OUTCOME]: The village is unnaturally quiet. The buildings are dilapidated, and the few villagers you see hurry along the streets, avoiding your gaze. A sickly grey fog clings to the ground."
input:  [ACTION]: I use my divine magic to try and heal the child. [CHECK]: Medicine [PASS/FAIL]: Pass,"output: [OUTCOME]: You channel the power of your deity. A warm, golden light envelops the child, and the sickly pallor fades from their skin. Their breathing evens out."
input:  [ACTION]: I use my divine magic to try and heal the child. [CHECK]: Medicine [PASS/FAIL]: Fail,"output: [OUTCOME]: You channel your energy, but the blight is too strong or of a nature unknown to you. Your magic has no effect on the illness."
input:  [ACTION]: I try to identify the symbol. [CHECK]: Religion [PASS/FAIL]: Pass,"output: [OUTCOME]: You recognize the symbol immediately. It is the mark of a powerful shadow demon, one known for corrupting the land itself."
input:  [ACTION]: I try to identify the symbol. [CHECK]: Religion [PASS/FAIL]: Fail,"output: [OUTCOME]: The symbol is crude and alien to you. While clearly unholy, you do not recognize the specific entity or cult it represents."
"input:  [ACTION]: I try to reassure him, promising the Sun God's protection. [CHECK]: Persuasion [PASS/FAIL]: Pass","output: [OUTCOME]: Seeing the conviction in your eyes and the holy symbol you bear, the villager relents. 'It came from the old manor on the hill,' he whispers."
"input:  [ACTION]: I try to reassure him, promising the Sun God's protection. [CHECK]: Persuasion [PASS/FAIL]: Fail","output: [OUTCOME]: The villager shakes his head, fear overriding any faith he might have. 'No! It will hear you! Leave us be!'"
input:  [ACTION]: I can feel the evil here. I want to know where it's strongest. [CHECK]: Divine Sense [PASS/FAIL]: Pass,"output: [OUTCOME]: You close your eyes and focus your divine senses. The evil is overwhelming, but its source is clear: it's coming from below, in the crypts beneath the manor."
input:  [ACTION]: I can feel the evil here. I want to know where it's strongest. [CHECK]: Divine Sense [PASS/FAIL]: Fail,output: [OUTCOME]: The entire manor is so saturated with evil energy that you cannot pinpoint a specific source. It is everywhere.
input:  [ACTION]: I attempt to sneak past the guard. [CHECK]: Stealth [PASS/FAIL]: Pass,"output: [OUTCOME]: You press yourself into an alcove, and the guard walks past, his heavy footsteps echoing in the hall. He didn't see you."
input:  [ACTION]: I attempt to sneak past the guard. [CHECK]: Stealth [PASS/FAIL]: Fail,"output: [OUTCOME]: You knock over a suit of armor with a loud CLANG. The guard spins around, drawing his sword. 'Intruder!'"
input:  [ACTION]: I use my thieves' tools to pick the lock. [CHECK]: Thieves' Tools [PASS/FAIL]: Pass,"output: [OUTCOME]: With practiced ease, you manipulate the tumblers. You feel the final pin click into place, and the heavy door swings open."
input:  [ACTION]: I use my thieves' tools to pick the lock. [CHECK]: Thieves' Tools [PASS/FAIL]: Fail,"output: [OUTCOME]: The lock is fiendishly complex. You work at it for a minute before one of your picks snaps off inside the mechanism, jamming it completely."
input:  [ACTION]: I ignore his taunts and ready my axe. [CHECK]: Wisdom [PASS/FAIL]: Pass,"output: [OUTCOME]: You control your rage, recognizing his words as a foolish attempt to make you reckless. You stand ready, calm and focused."
input:  [ACTION]: I ignore his taunts and ready my axe. [CHECK]: Wisdom [PASS/FAIL]: Fail,"output: [OUTCOME]: His words find their mark, stoking the fires of your rage. You let out a yell and charge forward recklessly."
input:  [ACTION]: I try to identify what kind of creature made these tracks. [CHECK]: Survival [PASS/FAIL]: Pass,"output: [OUTCOME]: You've seen tracks like this before in the high peaks. It's a Winter Wolf, a creature known for its cunning and ferocity."
input:  [ACTION]: I try to identify what kind of creature made these tracks. [CHECK]: Survival [PASS/FAIL]: Fail,"output: [OUTCOME]: The tracks are large and canine, but you don't recognize the specific creature. It's big, and that's all you can tell."
input:  [ACTION]: I try to push the boulder out of the way. [CHECK]: Athletics [PASS/FAIL]: Pass,"output: [OUTCOME]: You plant your feet, grit your teeth, and push with all your might. With a mighty groan, the boulder rolls aside, revealing the cave entrance."
input:  [ACTION]: I try to push the boulder out of the way. [CHECK]: Athletics [PASS/FAIL]: Fail,"output: [OUTCOME]: Despite your incredible strength, the boulder is simply too large. It doesn't budge an inch."
input:  [ACTION]: I try to remember what my books said about the native creatures here. [CHECK]: Nature [PASS/FAIL]: Pass,output: [OUTCOME]: You recall reading about Shambling Mounds in this region. They are dangerous plant creatures that can be hard to spot in this environment.
input:  [ACTION]: I try to remember what my books said about the native creatures here. [CHECK]: Nature [PASS/FAIL]: Fail,output: [OUTCOME]: Your knowledge is primarily of magical beasts and constructs; you know very little about the natural creatures of a swamp.
input:  [ACTION]: I try to discern its function. [CHECK]: Arcana [PASS/FAIL]: Pass,"output: [OUTCOME]: You recognize the glyph as a simple ward of alarm. Stepping on it will create a loud noise, but it is not physically harmful."
input:  [ACTION]: I try to discern its function. [CHECK]: Arcana [PASS/FAIL]: Fail,"output: [OUTCOME]: The magic is unfamiliar to you. You can tell it's a trap of some kind, but you don't know what it will do if triggered."
input:  [ACTION]: I think hard about the riddle's meaning. [CHECK]: Intelligence [PASS/FAIL]: Pass,"output: [OUTCOME]: After a moment of thought, the answer becomes clear. You speak the correct answer, and the statue rumbles with satisfaction."
input:  [ACTION]: I think hard about the riddle's meaning. [CHECK]: Intelligence [PASS/FAIL]: Fail,"output: [OUTCOME]: The riddle is too clever. You propose an answer, but the statue remains silent and motionless. It is the wrong answer."
input:  [ACTION]: I carefully make my way across the bridge. [CHECK]: Acrobatics [PASS/FAIL]: Pass,"output: [OUTCOME]: With a sure-footedness that belies the danger, you navigate the swaying bridge and make it to the other side without issue."
input:  [ACTION]: I carefully make my way across the bridge. [CHECK]: Acrobatics [PASS/FAIL]: Fail,output: [OUTCOME]: A rope snaps under your weight! You lose your footing and are now dangling precariously from the side of the bridge.
"input:  [ACTION]: I start a loud, obnoxious, and very public argument with a street vendor. [CHECK]: Performance [PASS/FAIL]: Pass","output: [OUTCOME]: Your feigned outrage is completely convincing. A large crowd gathers to watch the spectacle, giving your friend the perfect cover to slip away unnoticed."
"input:  [ACTION]: I start a loud, obnoxious, and very public argument with a street vendor. [CHECK]: Performance [PASS/FAIL]: Fail","output: [OUTCOME]: Your acting is unconvincing. The vendor just looks confused, and you only manage to draw the attention of a nearby city guard."
input:  [ACTION]: I try to bluff my way through the conversation. [CHECK]: Deception [PASS/FAIL]: Pass,"output: [OUTCOME]: You give a vague but authoritative-sounding answer. The other person seems satisfied and walks away, none the wiser."
input:  [ACTION]: I try to bluff my way through the conversation. [CHECK]: Deception [PASS/FAIL]: Fail,"output: [OUTCOME]: You hesitate for a moment too long, and your answer is unconvincing. The person's eyes narrow with suspicion. 'You're not a guard!'"
input:  [ACTION]: I use my healer's kit to bandage their wounds. [CHECK]: Medicine [PASS/FAIL]: Pass,"output: [OUTCOME]: Your practiced hands clean and dress the wound expertly. The bleeding stops, and the soldier gives you a weak but grateful smile."
input:  [ACTION]: I use my healer's kit to bandage their wounds. [CHECK]: Medicine [PASS/FAIL]: Fail,"output: [OUTCOME]: You do your best, but the wound is severe and your supplies are low. The bandage you apply is clumsy and doesn't fully stop the bleeding."
input:  [ACTION]: I attempt to calm the animal using gentle words and gestures. [CHECK]: Animal Handling [PASS/FAIL]: Pass,output: [OUTCOME]: The animal seems to sense your peaceful intentions. It stops growling and cautiously allows you to approach.
input:  [ACTION]: I attempt to calm the animal using gentle words and gestures. [CHECK]: Animal Handling [PASS/FAIL]: Fail,"output: [OUTCOME]: The corruption has driven the animal mad with fear and pain. It shrieks and lunges at you, ignoring your attempts to calm it."
input:  [ACTION]: I look for signs of which path is least affected by the blight. [CHECK]: Survival [PASS/FAIL]: Pass,"output: [OUTCOME]: You notice that one path has healthy plants growing alongside it, while the other is surrounded by decay. The safer path is clear."
input:  [ACTION]: I look for signs of which path is least affected by the blight. [CHECK]: Survival [PASS/FAIL]: Fail,output: [OUTCOME]: The entire forest is so thoroughly corrupted that you cannot tell if one path is any safer than another. All directions look equally perilous.
input:  [ACTION]: I try to recall the symbol from my time on the streets. [CHECK]: History [PASS/FAIL]: Pass,output: [OUTCOME]: The image comes to you clearly: a coiled serpent with a key in its mouth. That's the mark of the Shadow Scale guild.
input:  [ACTION]: I try to recall the symbol from my time on the streets. [CHECK]: History [PASS/FAIL]: Fail,"output: [OUTCOME]: You remember hearing of the guild, but you can't for the life of you recall what their specific mark was."
input:  [ACTION]: I use my raw strength to try and beat him. [CHECK]: Athletics [PASS/FAIL]: Pass,output: [OUTCOME]: Your muscles bulge as you put your power into it. The champion's hand is slammed to the table with a loud thud. You are the new champion.
input:  [ACTION]: I use my raw strength to try and beat him. [CHECK]: Athletics [PASS/FAIL]: Fail,"output: [OUTCOME]: The champion is surprisingly strong. Despite your best efforts, your hand is slowly and steadily forced down onto the table. You lose."
input:  [ACTION]: I try to withstand the effects of the poison through sheer resilience. [CHECK]: Constitution [PASS/FAIL]: Pass,"output: [OUTCOME]: You feel the poison burn in your veins, but you grit your teeth and fight through it. The worst of the effects subside."
input:  [ACTION]: I try to withstand the effects of the poison through sheer resilience. [CHECK]: Constitution [PASS/FAIL]: Fail,"output: [OUTCOME]: The poison overwhelms you. A wave of nausea and weakness washes over you, and your vision begins to blur."
input:  [ACTION]: I quickly put on the disguise. [CHECK]: Sleight of Hand [PASS/FAIL]: Pass,"output: [OUTCOME]: In a few deft movements, you pull on a cloak, affix a false beard, and change your posture. You are unrecognizable."
input:  [ACTION]: I quickly put on the disguise. [CHECK]: Sleight of Hand [PASS/FAIL]: Fail,"output: [OUTCOME]: You fumble with the disguise, getting the beard on crooked and tripping on the hem of the cloak. You look ridiculous, not disguised."
input:  [ACTION]: I ask my deity to show me the way forward. [CHECK]: Religion [PASS/FAIL]: Pass,"output: [OUTCOME]: You feel a calming presence and a gentle mental nudge, a feeling of certainty that you should head east, toward the rising sun."
input:  [ACTION]: I ask my deity to show me the way forward. [CHECK]: Religion [PASS/FAIL]: Fail,output: [OUTCOME]: Your prayers feel like they are being absorbed by the oppressive darkness of this land. You receive no answer and feel only silence.
input:  [ACTION]: [SCENE_START] [CHECK]: None [PASS/FAIL]: N/A,"output: [OUTCOME]: The air is thick with the buzz of insects and the calls of strange birds. Massive, vine-choked trees blot out the sun, casting the jungle floor in a perpetual green twilight."
input:  [ACTION]: I look for a safe place to cross the river. [CHECK]: Survival [PASS/FAIL]: Pass,"output: [OUTCOME]: Your trained eyes spot a large, fallen tree just a bit upstream that forms a sturdy, natural bridge to the other side."
input:  [ACTION]: I look for a safe place to cross the river. [CHECK]: Survival [PASS/FAIL]: Fail,output: [OUTCOME]: The river is wide and fast. You can't see any obvious safe crossing points nearby; you'll have to risk swimming or find another route.
input:  [ACTION]: I inspect the tracks to identify the creature. [CHECK]: Nature [PASS/FAIL]: Pass,"output: [OUTCOME]: You recognize the tracks. It's a Horned Gorilladon, a large and aggressive herbivore. The tracks are fresh, no more than an hour old."
input:  [ACTION]: I inspect the tracks to identify the creature. [CHECK]: Nature [PASS/FAIL]: Fail,"output: [OUTCOME]: The tracks are from a large creature, but you don't recognize the species. You can't tell if it's a predator or prey."
input:  [ACTION]: I ready my bow and try to move silently towards the sound. [CHECK]: Stealth [PASS/FAIL]: Pass,"output: [OUTCOME]: You move like a shadow through the jungle, making no sound. You peek through a large fern and see your quarry grazing in a small clearing."
input:  [ACTION]: I ready my bow and try to move silently towards the sound. [CHECK]: Stealth [PASS/FAIL]: Fail,"output: [OUTCOME]: A dry twig snaps under your boot with a loud crack. The rustling stops, and you hear the creature crashing away through the jungle, alerted to your presence."
input:  [ACTION]: [SCENE_START] [CHECK]: None [PASS/FAIL]: N/A,"output: [OUTCOME]: The hallway is dark, lit only by moonlight filtering through grimy windows. The peeling wallpaper looks like sunburnt skin, and the silence is broken by the drip-drip-drip of water somewhere nearby."
input:  [ACTION]: I ask my otherworldly patron what this spirit is. [CHECK]: Pact Magic [PASS/FAIL]: Pass,"output: [OUTCOME]: A whisper enters your mind, not in a language, but as pure comprehension: 'A prisoner, forgotten by time, bound by regret. It fears the light.'"
input:  [ACTION]: I ask my otherworldly patron what this spirit is. [CHECK]: Pact Magic [PASS/FAIL]: Fail,"output: [OUTCOME]: You reach out to your patron, but the whispers that return are a maddening cacophony of alien thoughts, giving you a splitting headache but no useful information."
input:  [ACTION]: I use my pact-given knowledge to translate the text. [CHECK]: History [PASS/FAIL]: Pass,"output: [OUTCOME]: The strange symbols swim in your vision and then resolve into meaning, a direct gift from your patron. The text describes a ritual of summoning."
input:  [ACTION]: I use my pact-given knowledge to translate the text. [CHECK]: History [PASS/FAIL]: Fail,"output: [OUTCOME]: Even with your patron's knowledge, the language is too ancient and obscure. You can only decipher a few words: '...portal...black sun...'"
input:  [ACTION]: I try to scare him off by showing him a glimpse of my patron's power. [CHECK]: Intimidation [PASS/FAIL]: Pass,"output: [OUTCOME]: Your eyes glow with an unsettling purple light. The cultist sees something indescribable in their depths, shrieks in terror, and flees the asylum."
input:  [ACTION]: I try to scare him off by showing him a glimpse of my patron's power. [CHECK]: Intimidation [PASS/FAIL]: Fail,"output: [OUTCOME]: You channel your patron's energy, but the cultist just laughs. 'A parlor trick! You are not worthy of this power!' He draws his own ritual dagger."
input:  [ACTION]: [SCENE_START] [CHECK]: None [PASS/FAIL]: N/A,"output: [OUTCOME]: The hall is filled with music, laughter, and the clinking of goblets. Nobles in fine silks gossip at long tables, while servants carry platters of roasted meats and exotic fruits."
input:  [ACTION]: I try to determine if the Baron is being deceptive. [CHECK]: Insight [PASS/FAIL]: Pass,"output: [OUTCOME]: You notice the Baron's eyes frequently dart towards the guards at the exits, and his hand nervously taps the hilt of his sword. He is deeply anxious about something."
input:  [ACTION]: I try to determine if the Baron is being deceptive. [CHECK]: Insight [PASS/FAIL]: Fail,output: [OUTCOME]: The Baron is a skilled courtier. His posture is relaxed and his smile seems genuine. You can't read anything unusual in his demeanor.
input:  [ACTION]: I stand and publicly admonish the jester for his lack of honor. [CHECK]: Persuasion [PASS/FAIL]: Pass,"output: [OUTCOME]: Your words, spoken with conviction, silence the hall. The jester shrinks back, abashed. The squire looks at you with immense gratitude, and a few nobles nod in approval."
input:  [ACTION]: I stand and publicly admonish the jester for his lack of honor. [CHECK]: Persuasion [PASS/FAIL]: Fail,"output: [OUTCOME]: A few nobles snicker at your outburst, amused by your 'lack of humor.' The king looks annoyed at the interruption, and the jester simply makes you the butt of his next joke."
input:  [ACTION]: I try to subtly knock the goblet from the king's hand before he drinks. [CHECK]: Sleight of Hand [PASS/FAIL]: Pass,"output: [OUTCOME]: You 'stumble' past the king's chair, jostling his arm just enough to send the goblet of wine splashing to the floor. The king is annoyed, but safe."
input:  [ACTION]: I try to subtly knock the goblet from the king's hand before he drinks. [CHECK]: Sleight of Hand [PASS/FAIL]: Fail,"output: [OUTCOME]: You move too slowly. The king takes a deep drink from the goblet just as you reach him. His eyes go wide, and he clutches his throat."
input:  [ACTION]: I check the water for any hidden dangers before entering. [CHECK]: Perception [PASS/FAIL]: Pass,"output: [OUTCOME]: Your eyes scan the surface. For a brief moment, you see a ripple that moves against the current. There's something large submerged in the water."
input:  [ACTION]: I check the water for any hidden dangers before entering. [CHECK]: Perception [PASS/FAIL]: Fail,"output: [OUTCOME]: The water is dark and smelly, but you see nothing besides floating refuse. It seems safe enough to cross."
input:  [ACTION]: I throw the stone with all my might. [CHECK]: Athletics [PASS/FAIL]: Pass,"output: [OUTCOME]: With a powerful shout, you heave the massive stone. It flies through the air and lands several feet past your opponent's mark. The crowd roars!"
input:  [ACTION]: I throw the stone with all my might. [CHECK]: Athletics [PASS/FAIL]: Fail,"output: [OUTCOME]: You lose your footing on the throw. The stone slips from your grasp, landing short of your opponent's mark with a disappointing thud."
input:  [ACTION]: I try to identify the potion and its intended effects. [CHECK]: Arcana [PASS/FAIL]: Pass,"output: [OUTCOME]: You recognize the ingredients and the stage of brewing. It's a Potion of Invisibility, but it's currently unstable. It needs one more ingredient to be completed."
input:  [ACTION]: I try to identify the potion and its intended effects. [CHECK]: Arcana [PASS/FAIL]: Fail,"output: [OUTCOME]: You can tell the potion is magical, but the specific combination of reagents is unfamiliar. You have no idea what it does or if it's safe."
"input:  [ACTION]: I compose a short, flattering song about the guard's heroic vigil. [CHECK]: Performance [PASS/FAIL]: Pass","output: [OUTCOME]: The guard is so flattered and entertained by your song that he momentarily forgets his duty, stepping aside to applaud you. You slip past him."
"input:  [ACTION]: I compose a short, flattering song about the guard's heroic vigil. [CHECK]: Performance [PASS/FAIL]: Fail","output: [OUTCOME]: The guard is not amused. 'Very pretty, songbird. Now get out of here before I arrest you for loitering.'"
input:  [ACTION]: I brace myself to keep my footing. [CHECK]: Dexterity [PASS/FAIL]: Pass,"output: [OUTCOME]: As skeletal hands erupt from the ground, you maintain your balance and are able to avoid their grasp."
input:  [ACTION]: I brace myself to keep my footing. [CHECK]: Dexterity [PASS/FAIL]: Fail,"output: [OUTCOME]: You stumble as the ground heaves. A skeletal hand bursts from the soil and grabs your ankle, holding you fast."
input:  [ACTION]: I try to calm the wolf and tend to its wounds. [CHECK]: Animal Handling [PASS/FAIL]: Pass,"output: [OUTCOME]: You make slow, non-threatening movements. The wolf seems to understand you mean no harm. It lies down, whimpering, and allows you to approach."
input:  [ACTION]: I try to calm the wolf and tend to its wounds. [CHECK]: Animal Handling [PASS/FAIL]: Fail,"output: [OUTCOME]: Despite your calm demeanor, the animal is too consumed by pain and fear. It lunges, snapping its jaws at you."
input:  [ACTION]: I try to sense if the imp is trying to magically swindle me. [CHECK]: Insight [PASS/FAIL]: Pass,"output: [OUTCOME]: As the imp speaks, you feel a subtle weave of magic in its words, an enchantment of suggestion. You recognize the attempt to cloud your judgment."
input:  [ACTION]: I try to sense if the imp is trying to magically swindle me. [CHECK]: Insight [PASS/FAIL]: Fail,"output: [OUTCOME]: The imp chatters and gestures, and you are so caught up in its performance that you don't notice the faint magical aura of its lies."
"input:  [ACTION]: I resist their interrogation, holding true to my oath. [CHECK]: Constitution [PASS/FAIL]: Pass","output: [OUTCOME]: They threaten and cajole you, but your will is iron. You reveal nothing, staring back at them with silent defiance."
"input:  [ACTION]: I resist their interrogation, holding true to my oath. [CHECK]: Constitution [PASS/FAIL]: Fail","output: [OUTCOME]: Under duress and exhaustion, your resolve finally cracks. You inadvertently let slip a key detail about the camp's location near the old mill."
input:  [ACTION]: I continue to move carefully along the ledge. [CHECK]: Acrobatics [PASS/FAIL]: Pass,"output: [OUTCOME]: You move with the grace of a cat, your feet sure on the narrow stone. You safely reach the window at the other end."
input:  [ACTION]: I continue to move carefully along the ledge. [CHECK]: Acrobatics [PASS/FAIL]: Fail,"output: [OUTCOME]: A strong gust of wind throws you off balance. You slip from the ledge, your only hope the bustling street far, far below."
input:  [ACTION]: I attempt to hold the portcullis open long enough for my friends to escape. [CHECK]: Athletics [PASS/FAIL]: Pass,"output: [OUTCOME]: With a primal scream, you pit your strength against the mechanism. The portcullis groans to a halt under your power, giving your allies just enough time to slide under."
input:  [ACTION]: I attempt to hold the portcullis open long enough for my friends to escape. [CHECK]: Athletics [PASS/FAIL]: Fail,"output: [OUTCOME]: The portcullis is too heavy. Despite your straining muscles, it continues its slow, inexorable descent, sealing the exit."
input:  [ACTION]: I study the tapestry to understand the historical context of the battle. [CHECK]: History [PASS/FAIL]: Pass,"output: [OUTCOME]: You recognize the banners and geography. This depicts the Battle of the Weeping Plains, where the last king of the Elven dynasty fell. You even spot a figure that matches the description of a legendary wizard."
input:  [ACTION]: I study the tapestry to understand the historical context of the battle. [CHECK]: History [PASS/FAIL]: Fail,"output: [OUTCOME]: The tapestry is old and faded. While you can tell it depicts a large battle, you don't recognize the banners or any of the key figures involved."
input:  [ACTION]: I try to recall the ancient song. [CHECK]: Performance [PASS/FAIL]: Pass,"output: [OUTCOME]: The melody comes to you first, and then the words follow, a gentle and soothing tune from a forgotten age. You begin to hum it softly."
input:  [ACTION]: I try to recall the ancient song. [CHECK]: Performance [PASS/FAIL]: Fail,"output: [OUTCOME]: You know you've heard the song before, but the exact words and melody escape you. You can only recall a few disjointed fragments."
input:  [ACTION]: I step between them and call for peace in the name of the Sun God. [CHECK]: Persuasion [PASS/FAIL]: Pass,"output: [OUTCOME]: Your calm, authoritative voice cuts through their anger. They pause, looking at your holy symbol, and a sense of shame comes over them. The argument subsides."
